node,phase,samples,mean_power_w,median_power_w
sweden,pre,311,278.64254019292605,289.54
sweden,post,181,108.2275138121547,107.88
sweden,migration,252,191.30559523809524,168.82
sweden,barrier,38,176.9415789473684,162.865
sweden,sleep,183,111.17934426229507,110.86
east,pre,311,148.47578778135048,136.74
east,post,181,144.81983425414364,138.56
east,migration,251,153.82944223107572,137.73
east,barrier,39,142.9520512820513,137.79
east,sleep,183,159.67989071038252,137.94
germany,pre,311,152.44691318327975,139.29
germany,post,181,152.78160220994477,147.81
germany,migration,251,154.6593625498008,142.6
germany,barrier,39,142.31615384615384,141.42
germany,sleep,183,168.1988524590164,146.87
