auroc,brier,brier_ci_high,brier_ci_low,ece,feasible,log_loss,model,n_checkpoints_test,n_runs_test,n_runs_train,note,positive_rate_data,predicted_positive_rate,scheme,source_slice,target
1.0,0.005522666679683809,0.009230242384433792,0.0022169069471835237,0.04948280372857759,True,0.05256297930547511,ledger_basic,60.0,12.0,47.0,,0.2,0.19683268089926137,holdout,holdout-overlap,y_future_progress_drop_h5
0.7942708333333334,0.19660682111281427,0.3045606533778036,0.07272514337727183,0.23670707599672092,True,0.5571181459811153,time_only,60.0,12.0,47.0,,0.2,0.18671833858399747,holdout,holdout-overlap,y_future_progress_drop_h5
0.6886604774535809,0.17407325270935026,0.26162778234228656,0.08653519608508137,0.05278656006036753,True,0.5357614845073333,ledger_basic,155.0,20.0,82.0,,0.7483870967741936,0.7254850009805291,holdout,holdout-overlap,y_success_eventual
0.5160256410256411,0.20363623680644416,0.2941844079266846,0.11754954979803313,0.07487089230388932,True,0.5985765699103728,time_only,155.0,20.0,82.0,,0.7483870967741936,0.7259249137788264,holdout,holdout-overlap,y_success_eventual
,,,,,False,,ledger_basic,,,,"min_per_fold<5 (pos=0,neg=201)",,,holdout,holdout-overlap,y_validation_new_work_h5
,,,,,False,,time_only,,,,"min_per_fold<5 (pos=0,neg=201)",,,holdout,holdout-overlap,y_validation_new_work_h5
1.0,0.0038012112810254417,0.006345274958489892,0.0019146229059198564,0.03506117059261756,True,0.03736950468234386,ledger_basic,213.0,59.0,59.0,,0.14553990610328638,0.1461996572448557,loro,loro-overlap,y_future_progress_drop_h5
0.826302729528536,0.12434824102067528,0.1702600086756369,0.08212270961952643,0.18053022548262346,True,0.38439186354825855,time_only,213.0,59.0,59.0,,0.14553990610328638,0.15216694472676273,loro,loro-overlap,y_future_progress_drop_h5
0.5851399290500591,0.16984129040618468,0.21410437282008493,0.12576290140621552,0.09533537042713212,True,0.5288676626441097,ledger_basic,703.0,102.0,102.0,,0.7553342816500711,0.7560791575640008,loro,loro-overlap,y_success_eventual
0.5051241623965314,0.18952276448086244,0.2349137925370364,0.14158786081940983,0.07287969050965468,True,0.5686756461181682,time_only,703.0,102.0,102.0,,0.7553342816500711,0.7573091740667607,loro,loro-overlap,y_success_eventual
,,,,,False,,ledger_basic,,,,"min_per_fold<5 (pos=0,neg=201)",,,loro,loro-overlap,y_validation_new_work_h5
,,,,,False,,time_only,,,,"min_per_fold<5 (pos=0,neg=201)",,,loro,loro-overlap,y_validation_new_work_h5
1.0,0.004489687788604537,0.007148327388087027,0.0022830672442181654,0.038207123117485656,True,0.0409361421820438,ledger_basic,213.0,59.0,59.0,,0.14553990610328638,0.14658582758728947,ltfo,exact-task-holdout,y_future_progress_drop_h5
0.8319744771357674,0.1250775720434798,0.1708237319220517,0.08239745312919165,0.17605900768530675,True,0.38676320694243776,time_only,213.0,59.0,59.0,,0.14553990610328638,0.14998253124980657,ltfo,exact-task-holdout,y_future_progress_drop_h5
0.5008321289361889,0.17792806835616476,0.22183611113603338,0.13226901080781203,0.11283924562837,True,0.5523387080853455,ledger_basic,703.0,102.0,102.0,,0.7553342816500711,0.7539856738877075,ltfo,exact-task-holdout,y_success_eventual
0.42724346340822494,0.19606950721256117,0.2434530647355315,0.1462009327169806,0.09452138778705586,True,0.5875147776431952,time_only,703.0,102.0,102.0,,0.7553342816500711,0.7593782355382295,ltfo,exact-task-holdout,y_success_eventual
,,,,,False,,ledger_basic,,,,"min_per_fold<5 (pos=0,neg=182)",,,ltfo,exact-task-holdout,y_validation_new_work_h5
,,,,,False,,time_only,,,,"min_per_fold<5 (pos=0,neg=182)",,,ltfo,exact-task-holdout,y_validation_new_work_h5
