scenario_id,condition,policy,repeat,migration_s,deadline_met,node,phase,samples,window_s,sample_span_s,source_clock_offset_spread_ms,cross_host_clock_error_verified,mean_power_w,mean_utilization_pct,sampled_peak_framebuffer_used_mib,evidence
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,source,before,120,30.0,29.749594178,0.031744,False,106.67725,98.075,76547.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/power.csv
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,source,migration,59,14.821520463,14.499789865,0.031744,False,144.6513559322034,64.52542372881356,76547.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/power.csv
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,east,before,120,30.0,29.749962736,0.031744,False,132.79358333333334,38.858333333333334,18719.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/east/power.csv
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,east,migration,60,14.821520463,14.750193423,0.031744,False,133.244,37.983333333333334,18719.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/east/power.csv
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,germany,before,120,30.0,29.750794823,0.031744,False,152.14258333333333,68.48333333333333,72959.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/germany/power.csv
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,germany,migration,60,14.821520463,14.749824736,0.031744,False,112.1635,98.05,72961.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/germany/power.csv
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,source,before,120,30.0,29.750664267,0.031744,False,102.42733333333334,96.4,76547.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/power.csv
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,source,migration,241,60.162613216,60.000941632,0.031744,False,144.30203319502075,64.70539419087137,76547.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/power.csv
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,east,before,120,30.0,29.750100603,0.031744,False,135.83525,38.18333333333333,18719.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/east/power.csv
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,east,migration,240,60.162613216,59.750297806,0.031744,False,131.43508333333332,66.35416666666667,18721.0,/datadrive/queue-haul-network/hardware-gap-h100-002/stacks/controlled_40-1786548835172994097/nodes/east/power.csv
