scenario_id,condition,policy,repeat,migration_s,deadline_met,route,before_arrival_requests,before_crossing_migration_start,before_complete_requests,during_arrival_requests,during_successful_requests,before_arrival_success_p50_response_s,before_arrival_success_p90_response_s,before_failed_requests,before_completed_success_p50_response_s,during_arrival_success_p50_response_s,before_completed_success_p90_response_s,during_arrival_success_p90_response_s,during_failed_requests,evidence
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,east,56,5,51,27,27,2.496965531,2.5116717775,0,2.495935625,2.503102162,2.512113312,2.518918339,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/bc5f3fd057e75c74/attempt-0002/sink_load_east.jsonl
bc5f3fd057e75c74,all-bind,isolated_fastest,0,14.821520463,True,germany,112,8,104,8,8,2.0987923784999998,2.1045701265,0,2.098636698,2.2858125984999997,2.1028314514,3.0536541856999997,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/bc5f3fd057e75c74/attempt-0002/sink_load_germany.jsonl
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,east,56,5,51,111,111,2.4909576270000002,2.5081704714999997,0,2.488744954,2.656134649,2.50283848,3.129931441,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/5f80daad848d1dde/attempt-0001/sink_load_east.jsonl
5f80daad848d1dde,all-bind,queue_haul_deadline_blind,0,60.162613216,False,germany,117,8,109,7,7,2.033217673,2.036584822,0,2.033124383,9.072876542,2.0350480848,56.89084409,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/5f80daad848d1dde/attempt-0001/sink_load_germany.jsonl
807cee5df7361bda,all-bind,queue_haul_stale,0,0.000636005,True,east,56,5,51,0,0,2.4971355295000004,2.5115456795,0,2.497079959,,2.512160869,,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/807cee5df7361bda/attempt-0001/sink_load_east.jsonl
807cee5df7361bda,all-bind,queue_haul_stale,0,0.000636005,True,germany,117,8,109,0,0,2.03198577,2.0340693136,0,2.032056163,,2.0340991032,,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/807cee5df7361bda/attempt-0001/sink_load_germany.jsonl
60e101301f854840,all-bind,queue_haul_power_blind,0,20.328496178,True,east,55,4,51,21,21,2.500232423,2.5155186338,0,2.499963768,3.617248894,2.514267157,14.758582187,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/60e101301f854840/attempt-0001/sink_load_east.jsonl
60e101301f854840,all-bind,queue_haul_power_blind,0,20.328496178,True,germany,120,8,112,20,20,2.0275661265,2.0340641184,0,2.0269574940000004,2.036854597,2.0336309089,2.4923124290000005,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/60e101301f854840/attempt-0001/sink_load_germany.jsonl
5cfa2820af1d9f64,all-bind,oracle_germany_only,0,16.78976411,True,east,55,5,50,31,31,2.514490003,2.5364641145999998,0,2.5108013534999998,2.515521227,2.5367423691999997,2.546998808,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/5cfa2820af1d9f64/attempt-0001/sink_load_east.jsonl
5cfa2820af1d9f64,all-bind,oracle_germany_only,0,16.78976411,True,germany,117,8,109,5,5,2.040556342,2.0428511058,0,2.040478238,3.505427812,2.0421304771999997,12.639637186,0,/datadrive/queue-haul-network/hardware-gap-h100-002/scenarios/5cfa2820af1d9f64/attempt-0001/sink_load_germany.jsonl
