offered_rps,observed_arrival_rps,arrival_span_s,episode_through_drain_s,completed,failed,finite_episode_completion_rps,p90_ttft_s,p90_request_mean_tpot_s,slo_violation,evidence
0.5,0.44781603433163986,109.419924467,114.609344258,50,0,0.4362646023647403,0.12399922349999999,0.00608715254340176,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps0p5-b00/attempt-000/result.json
1.0,1.0316570929389532,47.496415556,53.062585741,50,0,0.9422835186368684,0.1276789961,0.007634692571260997,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps1-b00/attempt-000/result.json
2.0,1.8217819336654077,26.896712202,34.660286496,50,0,1.4425731883598336,0.1563158162,0.011009620413000977,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps2-b00/attempt-000/result.json
3.0,2.6600239525048828,18.420847379,27.213081707,50,0,1.8373516288358676,0.20747900400000002,0.01357731159090909,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps3-b00/attempt-000/result.json
4.0,3.8386758813631,12.765170763,23.909014717,50,0,2.091261417161141,0.25655944150000004,0.014856966009579668,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps4-b00/attempt-000/result.json
5.0,4.702280969314998,10.420493428,22.212787989,50,0,2.250955621813908,0.46352971280000005,0.016024615425610948,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps5-b00/attempt-000/result.json
6.0,5.841872199024809,8.387742022,22.23411748,50,0,2.248796249501512,0.6347209421,0.016715271401857284,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps6-b00/attempt-000/result.json
7.0,6.636513160772816,7.383370501,21.046668056,50,0,2.3756729505574143,0.603890091,0.01750653281544477,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps7-b00/attempt-000/result.json
8.0,8.692677285213346,5.636939003,19.406893365,50,0,2.5764041188670697,0.8830839164000001,0.01671950436637341,False,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps8-b00/attempt-000/result.json
10.0,11.600562548589178,4.223928525,19.325122262,50,0,2.5873057526946472,1.457667319,0.017374689878103616,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps10-b00/attempt-000/result.json
12.0,12.917837855735279,3.793210741,18.650960856,50,0,2.68082703009454,1.7282522634000002,0.01710403331554252,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps12-b00/attempt-000/result.json
14.0,15.223774424937472,3.218627855,18.777542507,50,0,2.6627552557189373,2.2152345602,0.01739705793998045,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps14-b00/attempt-000/result.json
16.0,16.53194453303186,2.963953547,19.2895986,50,0,2.5920705265479187,2.3077212961,0.017626857974095796,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps16-b00/attempt-000/result.json
20.0,13.20683530714909,3.710210154,18.631283441,50,0,2.683658383403153,1.8094543848,0.01705490369530792,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps20-b00/attempt-000/result.json
24.0,21.73204336861654,2.254737225,18.484401402,50,0,2.704983456731795,2.9742747988000002,0.016897901901466277,True,/datadrive/agentic-rps-sweep-h100-quick-v4-gpu-0ec0a705/cells/quick-openai-gpt-oss-20b-rps24-b00/attempt-000/result.json
