trace_id,workflow_id,session_id,event_index,phase,package_type,valid,validation_reasons,checks_run,bytes_moved,bytes_lazy_rehydrate_target,extra_setup_steps_recorded,dominant_resource,k4_ran
h5a,h5a_multi_trajectory_swe,cog,10,pre_submit,prompt_only,False,missing_state_object,transcript_prefix;content_hashes;state_coverage,0,0,0,,False
h5a,h5a_multi_trajectory_swe,cog,10,pre_submit,transcript_plus_harness_state,False,missing_state_object,transcript_prefix;content_hashes;state_coverage;harness_schema,44,0,1,,False
h5a,h5a_multi_trajectory_swe,cog,10,pre_submit,transcript_plus_diff,False,missing_state_object;missing_diff_for_transcript_plus_diff,transcript_prefix;content_hashes;state_coverage;harness_schema;diff_apply,44,0,1,,False
h5a,h5a_multi_trajectory_swe,cog,10,pre_submit,full_workspace_snapshot,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,cog,10,pre_submit,agent_migrate_minimal,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,pok,24,pre_submit,prompt_only,False,missing_state_object,transcript_prefix;content_hashes;state_coverage,0,0,0,,False
h5a,h5a_multi_trajectory_swe,pok,24,pre_submit,transcript_plus_harness_state,False,missing_state_object,transcript_prefix;content_hashes;state_coverage;harness_schema,44,0,1,,False
h5a,h5a_multi_trajectory_swe,pok,24,pre_submit,transcript_plus_diff,False,missing_state_object;missing_diff_for_transcript_plus_diff,transcript_prefix;content_hashes;state_coverage;harness_schema;diff_apply,44,0,1,,False
h5a,h5a_multi_trajectory_swe,pok,24,pre_submit,full_workspace_snapshot,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,pok,24,pre_submit,agent_migrate_minimal,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,dcj,38,pre_submit,prompt_only,False,missing_state_object,transcript_prefix;content_hashes;state_coverage,0,0,0,,False
h5a,h5a_multi_trajectory_swe,dcj,38,pre_submit,transcript_plus_harness_state,False,missing_state_object,transcript_prefix;content_hashes;state_coverage;harness_schema,44,0,1,,False
h5a,h5a_multi_trajectory_swe,dcj,38,pre_submit,transcript_plus_diff,False,missing_state_object;missing_diff_for_transcript_plus_diff,transcript_prefix;content_hashes;state_coverage;harness_schema;diff_apply,44,0,1,,False
h5a,h5a_multi_trajectory_swe,dcj,38,pre_submit,full_workspace_snapshot,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,dcj,38,pre_submit,agent_migrate_minimal,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,ice,52,pre_submit,prompt_only,False,missing_state_object,transcript_prefix;content_hashes;state_coverage,0,0,0,,False
h5a,h5a_multi_trajectory_swe,ice,52,pre_submit,transcript_plus_harness_state,False,missing_state_object,transcript_prefix;content_hashes;state_coverage;harness_schema,44,0,1,,False
h5a,h5a_multi_trajectory_swe,ice,52,pre_submit,transcript_plus_diff,False,missing_state_object;missing_diff_for_transcript_plus_diff,transcript_prefix;content_hashes;state_coverage;harness_schema;diff_apply,44,0,1,,False
h5a,h5a_multi_trajectory_swe,ice,52,pre_submit,full_workspace_snapshot,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,ice,52,pre_submit,agent_migrate_minimal,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,scf,66,pre_submit,prompt_only,False,missing_state_object,transcript_prefix;content_hashes;state_coverage,0,0,0,,False
h5a,h5a_multi_trajectory_swe,scf,66,pre_submit,transcript_plus_harness_state,False,missing_state_object,transcript_prefix;content_hashes;state_coverage;harness_schema,44,0,1,,False
h5a,h5a_multi_trajectory_swe,scf,66,pre_submit,transcript_plus_diff,False,missing_state_object;missing_diff_for_transcript_plus_diff,transcript_prefix;content_hashes;state_coverage;harness_schema;diff_apply,44,0,1,,False
h5a,h5a_multi_trajectory_swe,scf,66,pre_submit,full_workspace_snapshot,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
h5a,h5a_multi_trajectory_swe,scf,66,pre_submit,agent_migrate_minimal,True,,transcript_prefix;content_hashes;state_coverage;harness_schema,1000000044,0,1,,False
