policy,budget,requested_fraction,mean,lower_95,upper_95,binding_case_fraction,cases
queue_haul_lp,Prefill service,0.6666666666666666,0.4755105373072164,0.39266960418438396,0.5630516390402105,0.0,12
queue_haul_lp,KV headroom,0.6666666666666666,0.22428664150633634,0.19710786316957898,0.2552186667802376,0.0,12
queue_haul_lp,Replay window,0.6666666666666666,0.8655458177180848,0.8029819065975695,0.9153855489957581,0.16666666666666666,12
queue_haul_lp,KV-transfer window,0.6666666666666666,0.8501521160411807,0.7733962028326042,0.9074676672609713,0.0,12
queue_haul_greedy,Prefill service,0.6666666666666666,0.49553974423309777,0.3981168284890839,0.5995158443300492,0.0,12
queue_haul_greedy,KV headroom,0.6666666666666666,0.20161384462327137,0.1761895324965006,0.22870163570395557,0.0,12
queue_haul_greedy,Replay window,0.6666666666666666,0.9027514014692423,0.8726871054326387,0.9279376068134284,0.08333333333333333,12
queue_haul_greedy,KV-transfer window,0.6666666666666666,0.7814600195217154,0.6665517776679678,0.8853162405829529,0.16666666666666666,12
independent_fastest,Prefill service,0.6666666666666666,0.33534647971829495,0.2497257855529742,0.431790265828794,0.0,12
independent_fastest,KV headroom,0.6666666666666666,0.13998811439356232,0.10954744886278933,0.17125283186719734,0.0,12
independent_fastest,Replay window,0.6666666666666666,0.4463869718948584,0.3754963573033116,0.4984467575987323,0.0,12
independent_fastest,KV-transfer window,0.6666666666666666,0.44857682249664815,0.3467393091589779,0.5259942418871325,0.0,12
replay_only,Prefill service,0.6666666666666666,0.37792361538505587,0.30199689410530806,0.45454900384092634,0.0,12
replay_only,KV headroom,0.6666666666666666,0.09988103311980494,0.08094892798487348,0.12022702463504824,0.0,12
replay_only,Replay window,0.6666666666666666,0.8595803697964479,0.8033465098069563,0.9053458186520053,0.08333333333333333,12
replay_only,KV-transfer window,0.6666666666666666,0.0,0.0,0.0,0.0,12
kv_only,Prefill service,0.6666666666666666,0.3436105689849762,0.28182952715824233,0.4123574967087025,0.0,12
kv_only,KV headroom,0.6666666666666666,0.09802179306584154,0.07751021321134796,0.12182704513218218,0.0,12
kv_only,Replay window,0.6666666666666666,0.0,0.0,0.0,0.0,12
kv_only,KV-transfer window,0.6666666666666666,0.8166186351313075,0.7497299892666612,0.8768689109923092,0.0,12
power_blind,Prefill service,0.6666666666666666,0.30790115683264824,0.2560638585321395,0.36563615689216744,0.0,12
power_blind,KV headroom,0.6666666666666666,0.210275416263462,0.18220770298665726,0.24248341340953808,0.0,12
power_blind,Replay window,0.6666666666666666,0.8462653682042373,0.8074946222981195,0.8750604086729037,0.0,12
power_blind,KV-transfer window,0.6666666666666666,0.676784392117782,0.5926683913956671,0.7635792075995533,0.0,12
