phase,route,direction,bytes,window_s,bytes_per_s,target_bytes_per_s,target_ratio,ok
baseline,api,client_to_target,0,0.0,0.0,125000000.0,0.0,1
baseline,kv,target_to_client,0,0.0,0.0,125000000.0,0.0,1
drain,api,client_to_target,1989055,392.11405301094055,5072.644004280312,125000000.0,4.05811520342425e-05,1
drain,kv,target_to_client,2991877980,393.79762506484985,7597501.329540276,125000000.0,0.060780010636322206,1
post,api,client_to_target,98786,0.829369068145752,119109.81949309871,125000000.0,0.0009528785559447897,1
post,kv,target_to_client,1233241356,25.895652055740356,47623491.130690575,125000000.0,0.3809879290455246,1
