sweep,level,bandwidth_cap_gbps,prefill_available_tps,plans,target_met_rate,action,session_count,session_share
bandwidth,0,0.1,2802.9163835652384,50,0.0,replay,868,0.62
bandwidth,0,0.1,2802.9163835652384,50,0.0,kv_transfer,96,0.06857142857142857
bandwidth,0,0.1,2802.9163835652384,50,0.0,not_moved,436,0.31142857142857144
bandwidth,1,0.5543849260992543,2802.9163835652384,50,0.0,replay,863,0.6164285714285714
bandwidth,1,0.5543849260992543,2802.9163835652384,50,0.0,kv_transfer,121,0.08642857142857142
bandwidth,1,0.5543849260992543,2802.9163835652384,50,0.0,not_moved,416,0.29714285714285715
bandwidth,2,1.0087698521985085,2802.9163835652384,50,0.0,replay,765,0.5464285714285714
bandwidth,2,1.0087698521985085,2802.9163835652384,50,0.0,kv_transfer,250,0.17857142857142858
bandwidth,2,1.0087698521985085,2802.9163835652384,50,0.0,not_moved,385,0.275
bandwidth,3,1.4631547782977625,2802.9163835652384,50,0.0,replay,660,0.4714285714285714
bandwidth,3,1.4631547782977625,2802.9163835652384,50,0.0,kv_transfer,378,0.27
bandwidth,3,1.4631547782977625,2802.9163835652384,50,0.0,not_moved,362,0.25857142857142856
bandwidth,4,1.9175397043970168,2802.9163835652384,50,0.0,replay,566,0.4042857142857143
bandwidth,4,1.9175397043970168,2802.9163835652384,50,0.0,kv_transfer,479,0.34214285714285714
bandwidth,4,1.9175397043970168,2802.9163835652384,50,0.0,not_moved,355,0.25357142857142856
bandwidth,5,2.3719246304962707,2802.9163835652384,50,0.0,replay,561,0.4007142857142857
bandwidth,5,2.3719246304962707,2802.9163835652384,50,0.0,kv_transfer,473,0.33785714285714286
bandwidth,5,2.3719246304962707,2802.9163835652384,50,0.0,not_moved,366,0.26142857142857145
bandwidth,6,2.826309556595525,2802.9163835652384,50,0.0,replay,557,0.39785714285714285
bandwidth,6,2.826309556595525,2802.9163835652384,50,0.0,kv_transfer,467,0.3335714285714286
bandwidth,6,2.826309556595525,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,7,3.2806944826947793,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,7,3.2806944826947793,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,7,3.2806944826947793,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,8,3.7350794087940336,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,8,3.7350794087940336,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,8,3.7350794087940336,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,9,4.189464334893287,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,9,4.189464334893287,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,9,4.189464334893287,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,10,4.643849260992542,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,10,4.643849260992542,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,10,4.643849260992542,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,11,5.098234187091796,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,11,5.098234187091796,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,11,5.098234187091796,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,12,5.55261911319105,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,12,5.55261911319105,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,12,5.55261911319105,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,13,6.007004039290305,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,13,6.007004039290305,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,13,6.007004039290305,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,14,6.461388965389559,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,14,6.461388965389559,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,14,6.461388965389559,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,15,6.915773891488813,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,15,6.915773891488813,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,15,6.915773891488813,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,16,7.370158817588067,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,16,7.370158817588067,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,16,7.370158817588067,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,17,7.824543743687321,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,17,7.824543743687321,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,17,7.824543743687321,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,18,8.278928669786575,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,18,8.278928669786575,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,18,8.278928669786575,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
bandwidth,19,8.733313595885829,2802.9163835652384,50,0.0,replay,556,0.39714285714285713
bandwidth,19,8.733313595885829,2802.9163835652384,50,0.0,kv_transfer,468,0.3342857142857143
bandwidth,19,8.733313595885829,2802.9163835652384,50,0.0,not_moved,376,0.26857142857142857
prefill,0,4.416656797942915,58.394091324275855,50,0.0,replay,0,0.0
prefill,0,4.416656797942915,58.394091324275855,50,0.0,kv_transfer,0,0.0
prefill,0,4.416656797942915,58.394091324275855,50,0.0,not_moved,1400,1.0
prefill,1,4.416656797942915,347.29117471806137,50,0.0,replay,574,0.41
prefill,1,4.416656797942915,347.29117471806137,50,0.0,kv_transfer,367,0.2621428571428571
prefill,1,4.416656797942915,347.29117471806137,50,0.0,not_moved,459,0.32785714285714285
prefill,2,4.416656797942915,636.188258111847,50,0.0,replay,529,0.37785714285714284
prefill,2,4.416656797942915,636.188258111847,50,0.0,kv_transfer,473,0.33785714285714286
prefill,2,4.416656797942915,636.188258111847,50,0.0,not_moved,398,0.2842857142857143
prefill,3,4.416656797942915,925.0853415056324,50,0.0,replay,504,0.36
prefill,3,4.416656797942915,925.0853415056324,50,0.0,kv_transfer,490,0.35
prefill,3,4.416656797942915,925.0853415056324,50,0.0,not_moved,406,0.29
prefill,4,4.416656797942915,1213.982424899418,50,0.0,replay,498,0.3557142857142857
prefill,4,4.416656797942915,1213.982424899418,50,0.0,kv_transfer,492,0.3514285714285714
prefill,4,4.416656797942915,1213.982424899418,50,0.0,not_moved,410,0.29285714285714287
prefill,5,4.416656797942915,1502.8795082932036,50,0.0,replay,506,0.36142857142857143
prefill,5,4.416656797942915,1502.8795082932036,50,0.0,kv_transfer,490,0.35
prefill,5,4.416656797942915,1502.8795082932036,50,0.0,not_moved,404,0.2885714285714286
prefill,6,4.416656797942915,1791.776591686989,50,0.0,replay,523,0.37357142857142855
prefill,6,4.416656797942915,1791.776591686989,50,0.0,kv_transfer,483,0.345
prefill,6,4.416656797942915,1791.776591686989,50,0.0,not_moved,394,0.2814285714285714
prefill,7,4.416656797942915,2080.6736750807745,50,0.0,replay,534,0.38142857142857145
prefill,7,4.416656797942915,2080.6736750807745,50,0.0,kv_transfer,478,0.3414285714285714
prefill,7,4.416656797942915,2080.6736750807745,50,0.0,not_moved,388,0.27714285714285714
prefill,8,4.416656797942915,2369.57075847456,50,0.0,replay,542,0.3871428571428571
prefill,8,4.416656797942915,2369.57075847456,50,0.0,kv_transfer,472,0.33714285714285713
prefill,8,4.416656797942915,2369.57075847456,50,0.0,not_moved,386,0.2757142857142857
prefill,9,4.416656797942915,2658.4678418683457,50,0.0,replay,548,0.3914285714285714
prefill,9,4.416656797942915,2658.4678418683457,50,0.0,kv_transfer,469,0.335
prefill,9,4.416656797942915,2658.4678418683457,50,0.0,not_moved,383,0.2735714285714286
prefill,10,4.416656797942915,2947.3649252621312,50,0.0,replay,558,0.3985714285714286
prefill,10,4.416656797942915,2947.3649252621312,50,0.0,kv_transfer,463,0.33071428571428574
prefill,10,4.416656797942915,2947.3649252621312,50,0.0,not_moved,379,0.27071428571428574
prefill,11,4.416656797942915,3236.262008655917,50,0.0,replay,575,0.4107142857142857
prefill,11,4.416656797942915,3236.262008655917,50,0.0,kv_transfer,456,0.32571428571428573
prefill,11,4.416656797942915,3236.262008655917,50,0.0,not_moved,369,0.26357142857142857
prefill,12,4.416656797942915,3525.159092049702,50,0.0,replay,597,0.42642857142857143
prefill,12,4.416656797942915,3525.159092049702,50,0.0,kv_transfer,440,0.3142857142857143
prefill,12,4.416656797942915,3525.159092049702,50,0.0,not_moved,363,0.2592857142857143
prefill,13,4.416656797942915,3814.0561754434875,50,0.0,replay,623,0.445
prefill,13,4.416656797942915,3814.0561754434875,50,0.0,kv_transfer,421,0.3007142857142857
prefill,13,4.416656797942915,3814.0561754434875,50,0.0,not_moved,356,0.2542857142857143
prefill,14,4.416656797942915,4102.953258837273,50,0.0,replay,656,0.4685714285714286
prefill,14,4.416656797942915,4102.953258837273,50,0.0,kv_transfer,397,0.2835714285714286
prefill,14,4.416656797942915,4102.953258837273,50,0.0,not_moved,347,0.24785714285714286
prefill,15,4.416656797942915,4391.850342231059,50,0.0,replay,696,0.49714285714285716
prefill,15,4.416656797942915,4391.850342231059,50,0.0,kv_transfer,363,0.2592857142857143
prefill,15,4.416656797942915,4391.850342231059,50,0.0,not_moved,341,0.24357142857142858
prefill,16,4.416656797942915,4680.747425624844,50,0.0,replay,747,0.5335714285714286
prefill,16,4.416656797942915,4680.747425624844,50,0.0,kv_transfer,317,0.22642857142857142
prefill,16,4.416656797942915,4680.747425624844,50,0.0,not_moved,336,0.24
prefill,17,4.416656797942915,4969.64450901863,50,0.02,replay,792,0.5657142857142857
prefill,17,4.416656797942915,4969.64450901863,50,0.02,kv_transfer,285,0.20357142857142857
prefill,17,4.416656797942915,4969.64450901863,50,0.02,not_moved,323,0.2307142857142857
prefill,18,4.416656797942915,5258.541592412415,50,0.02,replay,833,0.595
prefill,18,4.416656797942915,5258.541592412415,50,0.02,kv_transfer,255,0.18214285714285713
prefill,18,4.416656797942915,5258.541592412415,50,0.02,not_moved,312,0.22285714285714286
prefill,19,4.416656797942915,5547.438675806201,50,0.02,replay,863,0.6164285714285714
prefill,19,4.416656797942915,5547.438675806201,50,0.02,kv_transfer,229,0.16357142857142856
prefill,19,4.416656797942915,5547.438675806201,50,0.02,not_moved,308,0.22
