case_id,bound_constraint,constraints,replicate,sessions,target_w,power_bootstrap_index,timing_fit_sha256,bandwidth_projection_regions,fractional_lp_opportunity_w,target_met,feasible,power_shortfall_w,planned_shed_w,predicted_migration_makespan_s,loaded_candidate_count,loaded_pool_count,loaded_selected_count,loaded_context_below_session_count,loaded_context_above_session_count,loaded_context_below_candidate_count,loaded_context_above_candidate_count,loaded_context_below_selected_count,loaded_context_above_selected_count,loaded_bandwidth_below_pool_count,loaded_bandwidth_above_pool_count,loaded_bandwidth_below_candidate_count,loaded_bandwidth_above_candidate_count,loaded_bandwidth_below_selected_count,loaded_bandwidth_above_selected_count,loaded_context_below_replay_selected_count,loaded_context_above_replay_selected_count,loaded_bandwidth_below_replay_selected_count,loaded_bandwidth_above_replay_selected_count,loaded_context_below_kv_transfer_selected_count,loaded_context_above_kv_transfer_selected_count,loaded_bandwidth_below_kv_transfer_selected_count,loaded_bandwidth_above_kv_transfer_selected_count,candidate_matched_pairs,candidate_replay_only,candidate_kv_only,candidate_neither,candidate_replay_dominates,candidate_kv_dominates,candidate_equivalent,candidate_incomparable,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved,replay_phase_load,kv_transfer_phase_load,not_moved_phase_load,route_utilization,service_utilization,hbm_utilization,migration_utilization,binding_resources,failure
dest_compute,Dest. compute,dest_compute,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,29.64290517091291,True,True,0.0,21.789201872492185,10.21584066498006,112,2,6,1,9,4,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,0,0,40,0,0,16,3,3,22,0.10714285714285714,0.10714285714285714,0.7857142857142857,0.3261402645475963,0.4369789108505033,0.2368808246019004,0.03250797869359109,0.8344482294516177,0.03960659223817119,0.4086336265992024,,
bandwidth-hbm,HBM + bandwidth,bandwidth+hbm,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,21.824094348446152,True,True,0.0,21.789201872492185,5.75891100012366,92,2,6,1,9,4,16,1,0,1,0,46,0,2,0,1,0,2,0,0,0,0,0,46,0,0,10,46,0,0,0,6,0,22,0.21428571428571427,0.0,0.7857142857142857,0.7631191753980996,0.0,0.2368808246019004,1.7199788739339808e-05,0.02806457815135448,1.0,0.23035644000494637,kv:pool/germany,
dest_compute-hbm,HBM + compute,dest_compute+hbm,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,21.824094348446152,True,True,0.0,21.789201872492185,6.304257599507334,92,2,6,1,9,4,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,10,35,0,0,11,3,3,22,0.10714285714285714,0.10714285714285714,0.7857142857142857,0.3261402645475963,0.4369789108505033,0.2368808246019004,0.032504089733535906,0.4209686722703169,1.0,0.2521703039802934,kv:pool/germany,
bandwidth-dest_compute,Bandwidth + compute,bandwidth+dest_compute,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,29.64290517091291,True,True,0.0,21.789201872492185,10.941683601944947,112,2,6,1,9,4,36,1,0,1,0,56,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,40,0,0,16,6,0,22,0.21428571428571427,0.0,0.7857142857142857,0.7631191753980997,0.0,0.2368808246019003,2.4163839999999997e-05,0.8344482294516177,0.03960659223817119,0.4376673440777977,,
bandwidth-dest_compute-hbm,All bound,bandwidth+dest_compute+hbm,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,21.824094348446152,True,True,0.0,21.789201872492185,7.0301005364722196,92,2,6,1,9,4,16,1,0,1,0,46,0,2,0,1,0,2,0,0,0,0,0,46,0,0,10,35,0,0,11,6,0,22,0.21428571428571427,0.0,0.7857142857142857,0.7631191753980996,0.0,0.2368808246019004,1.7199788739339808e-05,0.4209686722703169,1.0,0.2812040214588888,kv:pool/germany,
none,None bound,none,1,28,21.41910327352041,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,0,31.978855134045602,True,True,0.0,21.789201872492185,8.963190779256129,112,2,6,1,9,4,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,51,0,0,5,6,0,22,0.21428571428571427,0.0,0.7857142857142857,0.7631191753980997,0.0,0.2368808246019003,7.801890321128634e-06,0.05562988196344123,0.03960659223817119,0.35852763117024505,,
hbm,HBM,hbm,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,46.06022961758178,True,True,0.0,42.649466907621914,7.7720751783438295,84,2,7,1,12,4,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,14,40,0,0,2,7,0,21,0.25,0.0,0.75,0.8577785607851676,0.0,0.14222143921483243,4.969115186309814e-06,0.15337552029088383,0.76,0.3108830071337531,,
bandwidth,Bandwidth,bandwidth,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,60.027999462821455,True,True,0.0,42.649466907621914,9.370674875004445,112,2,7,1,12,4,48,1,0,1,0,56,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,47,0,0,9,7,0,21,0.25,0.0,0.75,0.8577785607851676,0.0,0.14222143921483243,1.537408e-05,0.24170864250024243,0.025518341307814996,0.37482699500017774,,
dest_compute,Dest. compute,dest_compute,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,21.14467738605987,False,False,25.166747177681827,16.106302022117745,21.00980316156211,108,2,17,1,12,4,48,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,54,0,0,2,33,0,0,21,10,7,11,0.35714285714285715,0.25,0.39285714285714285,0.21804563449846479,0.2711652871804748,0.5107890783210605,0.08711567237632897,0.9830005085767497,0.0773524720893142,0.8403921264624845,,target_unmet
bandwidth-hbm,HBM + bandwidth,bandwidth+hbm,2,28,41.27304919979958,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,1,46.0602296175818,True,True,0.0,42.649466907621914,7.7720751783438295,84,2,7,1,12,4,20,1,0,1,0,42,0,1,0,1,0,1,0,0,0,0,0,42,0,0,14,40,0,0,2,7,0,21,0.25,0.0,0.75,0.8577785607851676,0.0,0.14222143921483243,9.12768e-06,0.15337552029088383,0.76,0.3108830071337531,,
