sweep,level,bandwidth_cap_gbps,prefill_available_tps,scoring_deadline_s,power_window_s,controller_delay_s,migration_budget_s,plans,target_met_rate,metric,outcome,pack_count,pack_share
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,0,0.1,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,1,0.27619007338542506,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,2,0.45238014677085014,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,3,0.6285702201562753,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,4,0.8047602935417003,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,5,0.9809503669271255,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,6,1.1571404403125505,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,7,1.3333305136979756,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,8,1.5095205870834005,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,7,0,0.0
bandwidth,9,1.6857106604688257,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,8,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,0,1000,1.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,1,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,2,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,3,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,4,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,5,0,0.0
bandwidth,10,1.8619007338542508,5342.376350791121,30,5.0,0,25.0,1000,0.998,kv_transfer_count,6,0,0.0
