case_id,bound_constraint,action,mean,p05,median,p95,session_share_mean,target_met_rate
hbm,HBM,replay,0.7229668387268497,0.4050198377710367,0.7742435798859931,0.8650200868631575,0.2836071428571429,0.529
hbm,HBM,kv_transfer,0.056529745310132114,0.0,0.0,0.32953808128548334,0.01889285714285714,0.529
hbm,HBM,not_moved,0.2205034159630181,0.13034648424385295,0.19453818502293768,0.40279984144895725,0.6975,0.529
bandwidth,Bandwidth,replay,0.7964357452451657,0.6103332415569425,0.8208390785869395,0.877569332371516,0.2775714285714286,0.995
bandwidth,Bandwidth,kv_transfer,0.03562325177140859,0.0,0.0,0.20985916718686673,0.012642857142857143,0.995
bandwidth,Bandwidth,not_moved,0.16794100298342574,0.11967547547872519,0.16360733673133399,0.2240068150710481,0.7097857142857142,0.995
dest_compute,Dest. compute,replay,0.34463911751963805,0.07945653667372284,0.36299291394086175,0.5483716668429998,0.2310357142857143,0.523
dest_compute,Dest. compute,kv_transfer,0.41751526804087224,0.17182923142888853,0.40964003280889794,0.7077779714248974,0.21207142857142855,0.523
dest_compute,Dest. compute,not_moved,0.23784561443948973,0.1415377801131854,0.20954609842728789,0.42303536297228167,0.5568928571428571,0.523
bandwidth-hbm,HBM + bandwidth,replay,0.769119895652954,0.5610023000712351,0.8003097341829166,0.8693011339024436,0.29875,0.529
bandwidth-hbm,HBM + bandwidth,kv_transfer,0.010560302486997379,0.0,0.0,0.05285350079606353,0.003714285714285714,0.529
bandwidth-hbm,HBM + bandwidth,not_moved,0.2203198018600486,0.13034648424385276,0.19453818502293768,0.40132572436199315,0.6975357142857143,0.529
dest_compute-hbm,HBM + compute,replay,0.27860092380787477,0.04602023240735609,0.2943097187793726,0.4721111459853292,0.12235714285714286,0.379
dest_compute-hbm,HBM + compute,kv_transfer,0.4620044583368884,0.27028096003427066,0.44694691414522947,0.7040243181534785,0.19332142857142856,0.379
dest_compute-hbm,HBM + compute,not_moved,0.25939461785523665,0.14380494990278928,0.2267263809889407,0.4793079685673043,0.6843214285714286,0.379
bandwidth-dest_compute,Bandwidth + compute,replay,0.34730561585702424,0.08482240828168676,0.3641509433717248,0.5495844132164367,0.23925,0.52
bandwidth-dest_compute,Bandwidth + compute,kv_transfer,0.41533865077921406,0.164908233605352,0.4069952340321946,0.7077779714248974,0.20353571428571426,0.52
bandwidth-dest_compute,Bandwidth + compute,not_moved,0.23735573336376178,0.1415377801131854,0.208998291181327,0.41975967305936457,0.5572142857142857,0.52
bandwidth-dest_compute-hbm,All bound,replay,0.27977428987044994,0.04729206746620604,0.2954393814115007,0.4764410939148041,0.12310714285714285,0.377
bandwidth-dest_compute-hbm,All bound,kv_transfer,0.4605023174227291,0.26971332411969834,0.44495354870505954,0.7040243181534785,0.19228571428571428,0.377
bandwidth-dest_compute-hbm,All bound,not_moved,0.25972339270682093,0.14380494990278928,0.2267263809889407,0.48423234350388794,0.6846071428571429,0.377
none,None bound,replay,0.7362956592422231,0.4139553901850112,0.7947871884272613,0.8708832013567535,0.2559642857142857,0.995
none,None bound,kv_transfer,0.09595848523062461,0.0,0.0,0.410035800631574,0.03378571428571429,0.995
none,None bound,not_moved,0.1677458555271524,0.11820889333313153,0.16369613076992834,0.2236082704500984,0.71025,0.995
