replicate,session_id,context_tokens,bandwidth_cap_gbps,prefill_available_tps,action,target_met,feasible,target_w,power_shortfall_w,predicted_migration_makespan_s,power_bootstrap_index,timing_fit_sha256
0,pack-1001-0,9701,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-1,17444,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-2,3913,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-3,1561,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-4,10140,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-5,2259,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-6,20146,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-7,27346,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-8,2259,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-9,2611,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-10,3514,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-11,2503,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-12,8595,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-13,15269,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-14,1728,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-15,3361,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-16,7500,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-17,3244,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-18,3361,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-19,2259,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-20,5640,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-21,1662,1.0,291.9704566213793,replay,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-22,3518,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
0,pack-1001-23,6932,1.0,291.9704566213793,not_moved,True,True,40.55537205182606,0.0,9.657369199632853,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc
