replicate,case_id,bound_constraint,policy,power_bootstrap_index,timing_fit_sha256,target_w,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
0,bandwidth-dest_compute,Bandwidth + compute,isolated_fastest,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,47.8889533979213,False
0,bandwidth-dest_compute,Bandwidth + compute,kv_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,15.841141420888889,True
0,bandwidth-dest_compute,Bandwidth + compute,replay_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,14.657369199632853,True
0,bandwidth-dest_compute-hbm,All bound,queue_haul,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,14.657369199632853,True
0,bandwidth-dest_compute-hbm,All bound,greedy,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,14.657369199632853,True
0,bandwidth-dest_compute-hbm,All bound,isolated_fastest,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,47.8889533979213,False
0,bandwidth-dest_compute-hbm,All bound,kv_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,15.841141420888889,True
0,bandwidth-dest_compute-hbm,All bound,replay_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,14.657369199632853,True
0,none,None bound,queue_haul,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,17.91315797071258,True
0,none,None bound,greedy,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,22.234091347376747,True
0,none,None bound,isolated_fastest,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,17.91315797071258,True
0,none,None bound,kv_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,18.05415455,True
0,none,None bound,replay_only,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,40.55537205182606,0.6666666666666666,30,90,22.234091347376747,True
1,hbm,HBM,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,10.75891100012366,True
1,hbm,HBM,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,10.75891100012366,True
1,hbm,HBM,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,hbm,HBM,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,hbm,HBM,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,,False
1,bandwidth,Bandwidth,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,13.963190779256129,True
1,bandwidth,Bandwidth,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,16.85944601004917,True
1,bandwidth,Bandwidth,isolated_fastest,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,13.963190779256129,True
1,bandwidth,Bandwidth,kv_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,28.586126160916667,True
1,bandwidth,Bandwidth,replay_only,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,16.85944601004917,True
1,dest_compute,Dest. compute,queue_haul,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,15.21584066498006,True
1,dest_compute,Dest. compute,greedy,5,4728d7092a2997783b92d482b3cc1a1c2550318e81cae59a5ff60eb604550575,21.41910327352041,0.6666666666666666,30,90,19.477318904402733,True
