phase,gpu,samples,power_mean_w
baseline,0,120,283.5758333333334
baseline,1,120,84.81875
drain,0,421,292.306674584323
drain,1,421,251.1229216152019
post,0,120,156.77283333333332
post,1,120,289.12741666666665
