source,total_turns,trace_count
hermes,4,326
hermes,6,382
hermes,8,396
hermes,10,336
hermes,12,278
hermes,14,336
hermes,16,300
hermes,17,1
hermes,18,249
hermes,20,251
hermes,22,231
hermes,24,243
hermes,25,1
hermes,26,276
hermes,27,1
hermes,28,300
hermes,29,2
hermes,30,521
hermes,31,23
hermes,32,162
hermes,33,472
hermes,34,161
hermes,35,87
hermes,36,93
hermes,37,44
hermes,38,90
hermes,39,38
hermes,40,96
hermes,41,38
hermes,42,81
hermes,43,35
hermes,44,95
hermes,45,40
hermes,46,70
hermes,47,27
hermes,48,121
hermes,49,32
hermes,50,200
hermes,51,24
hermes,52,58
hermes,53,344
hermes,54,50
hermes,55,37
hermes,56,40
hermes,57,42
hermes,58,33
hermes,59,35
hermes,60,46
hermes,61,29
hermes,62,30
hermes,63,17
hermes,64,21
hermes,65,17
hermes,66,24
hermes,67,17
hermes,68,17
hermes,69,21
hermes,70,21
hermes,71,14
hermes,72,23
hermes,73,14
hermes,74,19
hermes,75,12
hermes,76,16
hermes,77,10
hermes,78,19
hermes,79,5
hermes,80,11
hermes,81,11
hermes,82,16
hermes,83,9
hermes,84,9
hermes,85,10
hermes,86,6
hermes,87,4
hermes,88,4
hermes,89,10
hermes,90,5
hermes,91,2
hermes,92,1
hermes,93,2
hermes,94,3
hermes,95,6
hermes,96,6
hermes,97,1
hermes,98,3
hermes,99,4
hermes,100,4
hermes,101,3
hermes,102,2
hermes,104,5
hermes,105,1
hermes,106,1
hermes,107,1
hermes,108,1
hermes,111,2
hermes,112,1
hermes,114,2
hermes,116,1
hermes,118,1
hermes,119,1
hermes,120,1
hermes,122,1
hermes,124,1
hermes,138,1
hermes,158,1
swe-agent,2,1
swe-agent,3,106
swe-agent,5,232
swe-agent,7,295
swe-agent,9,1451
swe-agent,11,1769
swe-agent,13,2449
swe-agent,15,2703
swe-agent,17,3642
swe-agent,19,3731
swe-agent,21,3949
swe-agent,23,4003
swe-agent,25,3448
swe-agent,27,3336
swe-agent,29,2844
swe-agent,31,2527
swe-agent,33,2401
swe-agent,35,2109
swe-agent,37,1820
swe-agent,39,1666
swe-agent,41,1495
swe-agent,43,1378
swe-agent,45,1364
swe-agent,47,1245
swe-agent,49,1163
swe-agent,51,1154
swe-agent,53,1079
swe-agent,55,1087
swe-agent,57,1061
swe-agent,59,1069
swe-agent,61,980
swe-agent,63,1009
swe-agent,65,916
swe-agent,67,969
swe-agent,69,973
swe-agent,71,931
swe-agent,73,929
swe-agent,75,915
swe-agent,77,829
swe-agent,79,816
swe-agent,81,735
swe-agent,83,726
swe-agent,85,712
swe-agent,87,617
swe-agent,89,612
swe-agent,91,562
swe-agent,93,549
swe-agent,95,469
swe-agent,97,457
swe-agent,99,393
swe-agent,101,399
swe-agent,103,314
swe-agent,105,325
swe-agent,107,314
swe-agent,109,303
swe-agent,111,301
swe-agent,113,242
swe-agent,115,212
swe-agent,117,221
swe-agent,119,206
swe-agent,121,183
swe-agent,123,151
swe-agent,125,171
swe-agent,127,180
swe-agent,129,158
swe-agent,131,134
swe-agent,133,134
swe-agent,135,126
swe-agent,137,101
swe-agent,139,106
swe-agent,141,95
swe-agent,143,85
swe-agent,145,85
