source,progress,category,mean_fraction,trace_count
hermes,0.00,ARTIFACT,0.0,7644
hermes,0.00,ENVIRONMENT,0.0,7644
hermes,0.00,INVESTIGATION,0.0,7644
hermes,0.00,NONE,1.0,7644
hermes,0.00,PRODUCT,0.0,7644
hermes,0.00,VALIDATION,0.0,7644
hermes,0.05,ARTIFACT,0.0,7644
hermes,0.05,ENVIRONMENT,7.63125763125763e-05,7644
hermes,0.05,INVESTIGATION,0.08866618075801844,7644
hermes,0.05,NONE,0.9020155864543711,7644
hermes,0.05,PRODUCT,0.008611796366898428,7644
hermes,0.05,VALIDATION,0.0006301238444095587,7644
hermes,0.10,ARTIFACT,0.0,7644
hermes,0.10,ENVIRONMENT,0.0013086403392525842,7644
hermes,0.10,INVESTIGATION,0.2651728409970098,7644
hermes,0.10,NONE,0.6798160467214667,7644
hermes,0.10,PRODUCT,0.05048025481698927,7644
hermes,0.10,VALIDATION,0.0032222171252783488,7644
hermes,0.15,ARTIFACT,0.0,7644
hermes,0.15,ENVIRONMENT,0.0038312608956250984,7644
hermes,0.15,INVESTIGATION,0.3579478176728398,7644
hermes,0.15,NONE,0.5363701170819377,7644
hermes,0.15,PRODUCT,0.09696842814715044,7644
hermes,0.15,VALIDATION,0.00488237620244269,7644
hermes,0.20,ARTIFACT,0.0,7644
hermes,0.20,ENVIRONMENT,0.006815172949222733,7644
hermes,0.20,INVESTIGATION,0.3962914550443122,7644
hermes,0.20,NONE,0.45803433273055844,7644
hermes,0.20,PRODUCT,0.13216561548308514,7644
hermes,0.20,VALIDATION,0.00669342379282627,7644
hermes,0.25,ARTIFACT,0.0,7644
hermes,0.25,ENVIRONMENT,0.01000562973559664,7644
hermes,0.25,INVESTIGATION,0.4164987459011375,7644
hermes,0.25,NONE,0.39819317789145875,7644
hermes,0.25,PRODUCT,0.16635642096925168,7644
hermes,0.25,VALIDATION,0.008946025502549774,7644
hermes,0.30,ARTIFACT,0.0,7644
hermes,0.30,ENVIRONMENT,0.013734782165891319,7644
hermes,0.30,INVESTIGATION,0.4349293962462656,7644
hermes,0.30,NONE,0.3410450847468732,7644
hermes,0.30,PRODUCT,0.19814926580889203,7644
hermes,0.30,VALIDATION,0.012141471032071815,7644
hermes,0.35,ARTIFACT,0.0,7644
hermes,0.35,ENVIRONMENT,0.016155426409086106,7644
hermes,0.35,INVESTIGATION,0.4457534588742514,7644
hermes,0.35,NONE,0.2912760396336956,7644
hermes,0.35,PRODUCT,0.23131199862838892,7644
hermes,0.35,VALIDATION,0.015503076454575581,7644
hermes,0.40,ARTIFACT,0.0,7644
hermes,0.40,ENVIRONMENT,0.018662394595770834,7644
hermes,0.40,INVESTIGATION,0.4496932238965197,7644
hermes,0.40,NONE,0.2644583708961808,7644
hermes,0.40,PRODUCT,0.2489657396154682,7644
hermes,0.40,VALIDATION,0.01822027099605933,7644
hermes,0.45,ARTIFACT,0.0,7644
hermes,0.45,ENVIRONMENT,0.02119589230096498,7644
hermes,0.45,INVESTIGATION,0.449304589064084,7644
hermes,0.45,NONE,0.24359960368804795,7644
hermes,0.45,PRODUCT,0.2632818799460952,7644
hermes,0.45,VALIDATION,0.022618035000806266,7644
hermes,0.50,ARTIFACT,0.0,7644
hermes,0.50,ENVIRONMENT,0.02220095253657173,7644
hermes,0.50,INVESTIGATION,0.4463317701862849,7644
hermes,0.50,NONE,0.2364632567390482,7644
hermes,0.50,PRODUCT,0.27117842857600133,7644
hermes,0.50,VALIDATION,0.023825591962090786,7644
hermes,0.55,ARTIFACT,0.0,7644
hermes,0.55,ENVIRONMENT,0.02399569888884425,7644
hermes,0.55,INVESTIGATION,0.4527920401919429,7644
hermes,0.55,NONE,0.1921270670808683,7644
hermes,0.55,PRODUCT,0.3025196593572726,7644
hermes,0.55,VALIDATION,0.028565534481066673,7644
hermes,0.60,ARTIFACT,0.0,7644
hermes,0.60,ENVIRONMENT,0.02487742185659039,7644
hermes,0.60,INVESTIGATION,0.45112790121507573,7644
hermes,0.60,NONE,0.1834806489170748,7644
hermes,0.60,PRODUCT,0.3099666136137941,7644
hermes,0.60,VALIDATION,0.030547414397463956,7644
hermes,0.65,ARTIFACT,0.0,7644
hermes,0.65,ENVIRONMENT,0.025866981695339894,7644
hermes,0.65,INVESTIGATION,0.45064907250801883,7644
hermes,0.65,NONE,0.1707374474410038,7644
hermes,0.65,PRODUCT,0.3191698746462077,7644
hermes,0.65,VALIDATION,0.03357662370943532,7644
hermes,0.70,ARTIFACT,0.0,7644
hermes,0.70,ENVIRONMENT,0.02637913560416732,7644
hermes,0.70,INVESTIGATION,0.45101509741788237,7644
hermes,0.70,NONE,0.15981787255999746,7644
hermes,0.70,PRODUCT,0.3247857297187823,7644
hermes,0.70,VALIDATION,0.03800216469917463,7644
hermes,0.75,ARTIFACT,0.0,7644
hermes,0.75,ENVIRONMENT,0.026810766182939438,7644
hermes,0.75,INVESTIGATION,0.44962792023163534,7644
hermes,0.75,NONE,0.1538629666998523,7644
hermes,0.75,PRODUCT,0.3300615546924639,7644
hermes,0.75,VALIDATION,0.039636792193106195,7644
hermes,0.80,ARTIFACT,0.0,7644
hermes,0.80,ENVIRONMENT,0.026766026839117038,7644
hermes,0.80,INVESTIGATION,0.45049751036130264,7644
hermes,0.80,NONE,0.13876160873613633,7644
hermes,0.80,PRODUCT,0.3417004777089405,7644
hermes,0.80,VALIDATION,0.04227437635450099,7644
hermes,0.85,ARTIFACT,0.0,7644
hermes,0.85,ENVIRONMENT,0.02657151750150133,7644
hermes,0.85,INVESTIGATION,0.4511149491149931,7644
hermes,0.85,NONE,0.1299426733917429,7644
hermes,0.85,PRODUCT,0.3463895451550186,7644
hermes,0.85,VALIDATION,0.045981314836738264,7644
hermes,0.90,ARTIFACT,0.0,7644
hermes,0.90,ENVIRONMENT,0.02630700845779074,7644
hermes,0.90,INVESTIGATION,0.450410300445333,7644
hermes,0.90,NONE,0.12475136537434564,7644
hermes,0.90,PRODUCT,0.35047752796097426,7644
hermes,0.90,VALIDATION,0.048053797761553975,7644
hermes,0.95,ARTIFACT,0.0,7644
hermes,0.95,ENVIRONMENT,0.025855450247276215,7644
hermes,0.95,INVESTIGATION,0.4500469493000759,7644
hermes,0.95,NONE,0.11996557229831162,7644
hermes,0.95,PRODUCT,0.3539300334422398,7644
hermes,0.95,VALIDATION,0.05020199471209199,7644
