policy,requested_fraction,cases,maximum_removable_w_p05,maximum_removable_w_median,maximum_removable_w_p95,safely_attained_w_p05,safely_attained_w_median,safely_attained_w_p95
queue_haul_lp,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
queue_haul_lp,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.54903874509909,8.779682359923186,13.318370019928127
queue_haul_lp,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,9.792586553537243,18.32693133427513,27.591697151060714
queue_haul_lp,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,14.646648985276782,28.593886936283795,53.0158654611711
queue_haul_lp,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,17.31503987150853,36.03762235248851,57.59421024003602
queue_haul_lp,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,20.3614483777154,38.377956251153655,57.59421024003602
queue_haul_lp,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,20.924968147164748,38.377956251153655,57.59421024003602
queue_haul_lp,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,21.08228793579511,38.377956251153655,57.59421024003602
queue_haul_lp,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,21.08228793579511,38.377956251153655,57.59421024003602
queue_haul_lp,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,21.08228793579511,38.377956251153655,57.59421024003602
queue_haul_greedy,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
queue_haul_greedy,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.235267817042566,8.779682359923186,13.31650278170082
queue_haul_greedy,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,9.987296272382535,18.70584642794175,28.248690120924834
queue_haul_greedy,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,15.469811445563266,30.200845201606775,54.02269870931364
queue_haul_greedy,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,19.9586703853198,38.37390716550656,58.08810205537948
queue_haul_greedy,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,20.824380595119354,40.92630466931974,58.08810205537948
queue_haul_greedy,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,20.924968147164748,41.18959215906962,58.08810205537948
queue_haul_greedy,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
queue_haul_greedy,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
queue_haul_greedy,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
independent_fastest,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
independent_fastest,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.235267817042566,8.633455473042659,13.31650278170082
independent_fastest,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,9.987296272382535,17.00578016755088,26.254993434584357
independent_fastest,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,13.2664547734252,23.639763774430513,50.85294624884828
independent_fastest,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,27.941307884678153,53.898467249822446
independent_fastest,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,28.524039647409225,53.898467249822446
independent_fastest,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,28.653112007542248,53.898467249822446
independent_fastest,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,28.653112007542248,53.898467249822446
independent_fastest,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,28.653112007542248,53.898467249822446
independent_fastest,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,14.59377189136279,28.653112007542248,53.898467249822446
replay_only,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
replay_only,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.235267817042566,8.779682359923186,13.31650278170082
replay_only,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,9.987296272382535,18.70584642794175,28.248690120924834
replay_only,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,15.469811445563266,30.200845201606775,54.02269870931364
replay_only,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,19.9586703853198,38.37390716550656,58.08810205537948
replay_only,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,20.824380595119354,40.92630466931974,58.08810205537948
replay_only,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,20.924968147164748,41.18959215906962,58.08810205537948
replay_only,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
replay_only,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
replay_only,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,22.27932984448774,41.18959215906962,58.08810205537948
kv_only,0.0,800,32.486651845203546,51.799607255886244,61.019757441959825,0.0,0.0,0.0
kv_only,0.125,800,32.486651845203546,51.799607255886244,61.019757441959825,5.235267817042566,8.659714813431833,13.318370019928127
kv_only,0.25,800,32.486651845203546,51.799607255886244,61.019757441959825,10.35354940622925,18.739948078264064,27.612802949163978
kv_only,0.375,800,32.486651845203546,51.799607255886244,61.019757441959825,15.366044223356147,29.728131462940638,50.28066684751955
kv_only,0.5,800,32.486651845203546,51.799607255886244,61.019757441959825,19.15026832067961,37.13008397619758,52.9067923608594
kv_only,0.625,800,32.486651845203546,51.799607255886244,61.019757441959825,20.150565915865343,37.57095025547861,52.9067923608594
kv_only,0.6666666666666666,800,32.486651845203546,51.799607255886244,61.019757441959825,20.1650980953968,37.57095025547861,52.9067923608594
kv_only,0.75,800,32.486651845203546,51.799607255886244,61.019757441959825,20.1650980953968,37.57095025547861,52.9067923608594
kv_only,0.875,800,32.486651845203546,51.799607255886244,61.019757441959825,20.1650980953968,37.57095025547861,52.9067923608594
kv_only,1.0,800,32.486651845203546,51.799607255886244,61.019757441959825,20.1650980953968,37.57095025547861,52.9067923608594
