case_id,replicate,factor_case_id,bound_constraint,constraints,policy,requested_fraction,maximum_removable_w,requested_shed_w,raw_safe_shed_w,plan_safe,target_met_by_30s,failure_reason,power_bootstrap_index,timing_fit_sha256,bandwidth_projection_regions,safely_attained_shed_w,safely_attained_fraction
0/hbm,0,hbm,HBM,hbm,replay_only,0.875,60.833058077739096,53.22892581802171,1.3214830285960772,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,1.3214830285960772,0.02172310698086791
0/hbm,0,hbm,HBM,hbm,replay_only,1.0,60.833058077739096,60.833058077739096,1.3214830285960772,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,1.3214830285960772,0.02172310698086791
0/hbm,0,hbm,HBM,hbm,kv_only,0.0,60.833058077739096,0.0,0.0,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,0.0,0.0
0/hbm,0,hbm,HBM,hbm,kv_only,0.125,60.833058077739096,7.604132259717387,10.86718915724461,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,10.86718915724461,0.17863953417165604
0/hbm,0,hbm,HBM,hbm,kv_only,0.25,60.833058077739096,15.208264519434774,30.497892428512785,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,30.497892428512785,0.501337486429488
0/hbm,0,hbm,HBM,hbm,kv_only,0.375,60.833058077739096,22.81239677915216,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,0.5,60.833058077739096,30.416529038869548,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,0.625,60.833058077739096,38.02066129858694,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,0.6666666666666666,60.833058077739096,40.55537205182606,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,0.75,60.833058077739096,45.62479355830432,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,0.875,60.833058077739096,53.22892581802171,57.69965844340831,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,kv_only,1.0,60.833058077739096,60.833058077739096,57.69965844340831,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,57.69965844340831,0.9484918277439449
0/hbm,0,hbm,HBM,hbm,power_blind,0.0,60.833058077739096,0.0,0.0,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,0.0,0.0
0/hbm,0,hbm,HBM,hbm,power_blind,0.125,60.833058077739096,7.604132259717387,0.3129700768672592,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,0.3129700768672592,0.005144736870984062
0/hbm,0,hbm,HBM,hbm,power_blind,0.25,60.833058077739096,15.208264519434774,0.4735186904510158,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,0.4735186904510158,0.007783904104342447
0/hbm,0,hbm,HBM,hbm,power_blind,0.375,60.833058077739096,22.81239677915216,3.9562210208764554,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,3.9562210208764554,0.06503406446903863
0/hbm,0,hbm,HBM,hbm,power_blind,0.5,60.833058077739096,30.416529038869548,7.231109468454974,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,7.231109468454974,0.1188680907544427
0/hbm,0,hbm,HBM,hbm,power_blind,0.625,60.833058077739096,38.02066129858694,15.14664133740527,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,15.14664133740527,0.24898701160229764
0/hbm,0,hbm,HBM,hbm,power_blind,0.6666666666666666,60.833058077739096,40.55537205182606,21.485731543235403,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,21.485731543235403,0.35319170566402563
0/hbm,0,hbm,HBM,hbm,power_blind,0.75,60.833058077739096,45.62479355830432,38.24883166539823,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,38.24883166539823,0.6287507627270639
0/hbm,0,hbm,HBM,hbm,power_blind,0.875,60.833058077739096,53.22892581802171,60.04056549462079,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,60.04056549462079,0.9869726657156448
0/hbm,0,hbm,HBM,hbm,power_blind,1.0,60.833058077739096,60.833058077739096,60.231951263722394,True,False,target_unmet,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,60.231951263722394,0.9901187473881629
0/hbm,0,hbm,HBM,hbm,deadline_blind,0.0,60.833058077739096,0.0,0.0,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,0.0,0.0
0/hbm,0,hbm,HBM,hbm,deadline_blind,0.125,60.833058077739096,7.604132259717387,10.86718915724461,True,True,,84,3131c255a32097cfe5da11c011f37061423ea988be29aee20c01a3538dae20fc,0,10.86718915724461,0.17863953417165604
