campaign,split,deadline_s,scheduler,independent_value,observations,time_to_full_power_s,deadline_attainment_fraction,watts_shed_by_deadline,target_w,replay_action_fraction,kv_transfer_action_fraction,not_moved_action_fraction
bandwidth,mixed,19.0,replay_only,5.0,3,11.040597798,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,19.0,greedy,10.0,3,11.03846824,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,mixed,19.0,kv_only,10.0,3,9.080524414,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,mixed,19.0,queue_haul,10.0,3,9.67828303,1.0,156.50014682302742,156.50014682302742,0.375,0.625,0.0
bandwidth,mixed,19.0,replay_only,10.0,3,11.111655328000001,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,greedy,1.0,3,7.977796306,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,kv_only,1.0,3,18.854483781,0.6666666666666666,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,19.0,queue_haul,1.0,3,8.250617384,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,replay_only,1.0,3,8.022736171,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,greedy,2.5,3,7.933149437,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,kv_only,2.5,3,11.090185115,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,19.0,queue_haul,2.5,3,7.7772385669999995,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,replay_only,2.5,3,8.023744219000001,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,greedy,5.0,3,7.950916517,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,kv_only,5.0,3,8.702160413,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,19.0,queue_haul,5.0,3,8.319167869000001,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,replay_only,5.0,3,7.93190575,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,greedy,10.0,3,8.03552347,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,kv_only,10.0,3,7.521985063,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,small,19.0,queue_haul,10.0,3,8.017147231,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,small,19.0,replay_only,10.0,3,7.9805191870000005,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,greedy,1.0,3,7.0167237490000005,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,kv_only,1.0,3,12.338541313,1.0,156.50014682302742,156.50014682302742,0.0,1.0,0.0
bandwidth,tiny,19.0,queue_haul,1.0,3,6.628811187,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
bandwidth,tiny,19.0,replay_only,1.0,3,6.695914706,1.0,156.50014682302742,156.50014682302742,1.0,0.0,0.0
