campaign,deadline_s,scheduler,action,bandwidth_gbps,destination_prefill_tokens_per_s,action_fraction,observations
bandwidth,30,queue_haul,replay,1.0,0,1.0,15
bandwidth,30,queue_haul,replay,2.5,0,1.0,15
bandwidth,30,queue_haul,replay,5.0,0,0.8,15
bandwidth,30,queue_haul,replay,10.0,0,0.475,15
load,30,queue_haul,replay,10.0,1365.333333333333,0.375,10
load,30,queue_haul,replay,10.0,2730.6666666666656,0.375,10
load,30,queue_haul,replay,10.0,3481.5999999999985,0.375,10
load,30,queue_haul,replay,10.0,4027.733333333331,0.375,10
load,30,queue_haul,replay,10.0,4300.799999999997,0.375,10
load,30,queue_haul,replay,10.0,4573.866666666664,0.375,10
load,30,queue_haul,replay,10.0,4710.399999999997,0.375,10
load,30,queue_haul,replay,10.0,4846.933333333331,0.375,10
load,30,queue_haul,replay,10.0,4983.4666666666635,0.375,10
load,30,queue_haul,replay,10.0,5119.999999999997,0.375,10
load,30,queue_haul,replay,10.0,5256.53333333333,0.25,10
bandwidth,30,queue_haul,kv_transfer,1.0,0,0.0,15
bandwidth,30,queue_haul,kv_transfer,2.5,0,0.0,15
bandwidth,30,queue_haul,kv_transfer,5.0,0,0.2,15
bandwidth,30,queue_haul,kv_transfer,10.0,0,0.525,15
load,30,queue_haul,kv_transfer,10.0,1365.333333333333,0.625,10
load,30,queue_haul,kv_transfer,10.0,2730.6666666666656,0.625,10
load,30,queue_haul,kv_transfer,10.0,3481.5999999999985,0.625,10
load,30,queue_haul,kv_transfer,10.0,4027.733333333331,0.625,10
load,30,queue_haul,kv_transfer,10.0,4300.799999999997,0.625,10
load,30,queue_haul,kv_transfer,10.0,4573.866666666664,0.625,10
load,30,queue_haul,kv_transfer,10.0,4710.399999999997,0.625,10
load,30,queue_haul,kv_transfer,10.0,4846.933333333331,0.5,10
load,30,queue_haul,kv_transfer,10.0,4983.4666666666635,0.25,10
load,30,queue_haul,kv_transfer,10.0,5119.999999999997,0.125,10
load,30,queue_haul,kv_transfer,10.0,5256.53333333333,0.0,10
bandwidth,30,queue_haul,not_moved,1.0,0,0.0,15
bandwidth,30,queue_haul,not_moved,2.5,0,0.0,15
bandwidth,30,queue_haul,not_moved,5.0,0,0.0,15
bandwidth,30,queue_haul,not_moved,10.0,0,0.0,15
load,30,queue_haul,not_moved,10.0,1365.333333333333,0.0,10
load,30,queue_haul,not_moved,10.0,2730.6666666666656,0.0,10
load,30,queue_haul,not_moved,10.0,3481.5999999999985,0.0,10
load,30,queue_haul,not_moved,10.0,4027.733333333331,0.0,10
load,30,queue_haul,not_moved,10.0,4300.799999999997,0.0,10
load,30,queue_haul,not_moved,10.0,4573.866666666664,0.0,10
load,30,queue_haul,not_moved,10.0,4710.399999999997,0.0,10
load,30,queue_haul,not_moved,10.0,4846.933333333331,0.125,10
load,30,queue_haul,not_moved,10.0,4983.4666666666635,0.375,10
load,30,queue_haul,not_moved,10.0,5119.999999999997,0.5,10
load,30,queue_haul,not_moved,10.0,5256.53333333333,0.75,10
bandwidth,30,greedy,replay,1.0,0,1.0,15
bandwidth,30,greedy,replay,2.5,0,1.0,15
bandwidth,30,greedy,replay,5.0,0,1.0,15
bandwidth,30,greedy,replay,10.0,0,0.8,15
load,30,greedy,replay,10.0,1365.333333333333,1.0,10
load,30,greedy,replay,10.0,2730.6666666666656,1.0,10
load,30,greedy,replay,10.0,3481.5999999999985,1.0,10
load,30,greedy,replay,10.0,4027.733333333331,1.0,10
load,30,greedy,replay,10.0,4300.799999999997,1.0,10
load,30,greedy,replay,10.0,4573.866666666664,1.0,10
load,30,greedy,replay,10.0,4710.399999999997,1.0,10
load,30,greedy,replay,10.0,4846.933333333331,0.875,10
load,30,greedy,replay,10.0,4983.4666666666635,0.625,10
load,30,greedy,replay,10.0,5119.999999999997,0.5,10
load,30,greedy,replay,10.0,5256.53333333333,0.25,10
bandwidth,30,greedy,kv_transfer,1.0,0,0.0,15
bandwidth,30,greedy,kv_transfer,2.5,0,0.0,15
bandwidth,30,greedy,kv_transfer,5.0,0,0.0,15
bandwidth,30,greedy,kv_transfer,10.0,0,0.2,15
load,30,greedy,kv_transfer,10.0,1365.333333333333,0.0,10
load,30,greedy,kv_transfer,10.0,2730.6666666666656,0.0,10
load,30,greedy,kv_transfer,10.0,3481.5999999999985,0.0,10
load,30,greedy,kv_transfer,10.0,4027.733333333331,0.0,10
load,30,greedy,kv_transfer,10.0,4300.799999999997,0.0,10
load,30,greedy,kv_transfer,10.0,4573.866666666664,0.0,10
load,30,greedy,kv_transfer,10.0,4710.399999999997,0.0,10
load,30,greedy,kv_transfer,10.0,4846.933333333331,0.0,10
load,30,greedy,kv_transfer,10.0,4983.4666666666635,0.0,10
load,30,greedy,kv_transfer,10.0,5119.999999999997,0.0,10
load,30,greedy,kv_transfer,10.0,5256.53333333333,0.0,10
bandwidth,30,greedy,not_moved,1.0,0,0.0,15
bandwidth,30,greedy,not_moved,2.5,0,0.0,15
bandwidth,30,greedy,not_moved,5.0,0,0.0,15
bandwidth,30,greedy,not_moved,10.0,0,0.0,15
load,30,greedy,not_moved,10.0,1365.333333333333,0.0,10
load,30,greedy,not_moved,10.0,2730.6666666666656,0.0,10
load,30,greedy,not_moved,10.0,3481.5999999999985,0.0,10
load,30,greedy,not_moved,10.0,4027.733333333331,0.0,10
load,30,greedy,not_moved,10.0,4300.799999999997,0.0,10
load,30,greedy,not_moved,10.0,4573.866666666664,0.0,10
load,30,greedy,not_moved,10.0,4710.399999999997,0.0,10
load,30,greedy,not_moved,10.0,4846.933333333331,0.125,10
load,30,greedy,not_moved,10.0,4983.4666666666635,0.375,10
load,30,greedy,not_moved,10.0,5119.999999999997,0.5,10
load,30,greedy,not_moved,10.0,5256.53333333333,0.75,10
