phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,133.47995833333334
baseline,1,240,240,1.0,83.16583333333332
drain,0,154,154,1.0,96.46344155844154
drain,1,154,154,1.0,264.9024675324676
post,0,239,239,1.0,87.0134309623431
post,1,239,239,1.0,129.96493723849372
