phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,127.396625
baseline,1,240,240,1.0,83.30395833333334
drain,0,151,151,1.0,91.57370860927153
drain,1,151,151,1.0,274.51907284768214
post,0,240,240,1.0,87.05779166666666
post,1,240,240,1.0,126.71154166666669
