phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,293.97220833333336
baseline,1,240,240,1.0,83.19370833333332
drain,0,124,124,1.0,150.7551612903226
drain,1,124,124,1.0,285.0515322580645
post,0,240,240,1.0,198.62270833333332
post,1,240,240,1.0,316.79545833333333
