model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,comparator,p05_difference_w,median_difference_w,p95_difference_w,win_fraction
gpt-oss-20b,coding,8,reference,10,kv_only,1.0,nominal_volume,lp_bound,8833783.606804015,10208973.10044271,11260983.12014589,1.0
gpt-oss-20b,coding,8,reference,10,kv_only,1.0,nominal_volume,lp_plan,8833729.014714953,10208816.85172584,11260785.810975067,1.0
gpt-oss-20b,coding,8,reference,10,replay_only,1.0,nominal_volume,lp_bound,171.62639744998998,4757.359390722588,146709.3830014653,1.0
gpt-oss-20b,coding,8,reference,10,replay_only,1.0,nominal_volume,lp_plan,90.18261162592384,4706.650322469883,146675.24080379488,0.95
gpt-oss-20b,coding,8,reference,10,isolated_fastest,1.0,nominal_volume,lp_bound,8833783.606804015,10208973.10044271,11260983.12014589,1.0
gpt-oss-20b,coding,8,reference,10,isolated_fastest,1.0,nominal_volume,lp_plan,8833729.014714953,10208816.85172584,11260785.810975067,1.0
gpt-oss-20b,coding,8,reference,30,lp_plan,1.0,nominal_volume,lp_bound,13.856360142957428,45.861353491432965,264.33472455422805,1.0
gpt-oss-20b,coding,8,reference,30,greedy,1.0,nominal_volume,lp_bound,100.5186546194369,326.64807994663715,462.79417120175907,1.0
gpt-oss-20b,coding,8,reference,30,greedy,1.0,nominal_volume,lp_plan,-123.61585230836519,261.18057335168123,448.83766083796337,0.75
gpt-oss-20b,coding,8,reference,30,kv_only,1.0,nominal_volume,lp_bound,11074832.703719243,11570953.323216991,11821550.732594317,1.0
gpt-oss-20b,coding,8,reference,30,kv_only,1.0,nominal_volume,lp_plan,11074797.47046374,11570938.58757738,11821396.975065365,1.0
gpt-oss-20b,coding,8,reference,30,replay_only,1.0,nominal_volume,lp_bound,107.09456190262001,336.1226322511211,486.83999848388305,1.0
gpt-oss-20b,coding,8,reference,30,replay_only,1.0,nominal_volume,lp_plan,-113.12660639351108,270.0562373697758,465.5373903862598,0.75
gpt-oss-20b,coding,8,reference,30,isolated_fastest,1.0,nominal_volume,lp_bound,11074832.703719243,11570953.323216991,11821550.732594317,1.0
gpt-oss-20b,coding,8,reference,30,isolated_fastest,1.0,nominal_volume,lp_plan,11074797.47046374,11570938.58757738,11821396.975065365,1.0
gpt-oss-20b,coding,8,reference,60,lp_plan,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,2.7939677238464355e-09,97.7011350064522,0.59975
gpt-oss-20b,coding,8,reference,60,greedy,1.0,nominal_volume,lp_bound,0.0,3.725290298461914e-09,229.728610560195,0.6965
gpt-oss-20b,coding,8,reference,60,greedy,1.0,nominal_volume,lp_plan,-2.326107549200904,1.862645149230957e-09,167.45763011946846,0.55
gpt-oss-20b,coding,8,reference,60,kv_only,1.0,nominal_volume,lp_bound,11755869.342710664,11875407.556642078,11961276.412477097,1.0
gpt-oss-20b,coding,8,reference,60,kv_only,1.0,nominal_volume,lp_plan,11755765.949334167,11875325.015628409,11961276.412477097,1.0
gpt-oss-20b,coding,8,reference,60,replay_only,1.0,nominal_volume,lp_bound,0.0,3.725290298461914e-09,231.08649607895742,0.6965
gpt-oss-20b,coding,8,reference,60,replay_only,1.0,nominal_volume,lp_plan,-1.967258255555555,1.862645149230957e-09,167.66027323537898,0.55
gpt-oss-20b,coding,8,reference,60,isolated_fastest,1.0,nominal_volume,lp_bound,11755869.342710664,11875407.556642078,11961276.412477097,1.0
gpt-oss-20b,coding,8,reference,60,isolated_fastest,1.0,nominal_volume,lp_plan,11755765.949334167,11875325.015628409,11961276.412477097,1.0
gpt-oss-20b,coding,8,reference,120,lp_plan,1.0,nominal_volume,lp_bound,-1.955777406692473e-09,0.0,5.587935447692871e-09,0.35575
gpt-oss-20b,coding,8,reference,120,greedy,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.244
gpt-oss-20b,coding,8,reference,120,greedy,1.0,nominal_volume,lp_plan,-3.81842255592343e-09,0.0,3.725290298461914e-09,0.1
gpt-oss-20b,coding,8,reference,120,kv_only,1.0,nominal_volume,lp_bound,11655179.281046318,11793500.587106992,11922463.020836968,1.0
gpt-oss-20b,coding,8,reference,120,kv_only,1.0,nominal_volume,lp_plan,11655179.28104632,11793500.587106992,11922463.020836972,1.0
gpt-oss-20b,coding,8,reference,120,replay_only,1.0,nominal_volume,lp_bound,-1.862645149230957e-09,0.0,3.725290298461914e-09,0.244
gpt-oss-20b,coding,8,reference,120,replay_only,1.0,nominal_volume,lp_plan,-3.81842255592343e-09,0.0,3.725290298461914e-09,0.1
gpt-oss-20b,coding,8,reference,120,isolated_fastest,1.0,nominal_volume,lp_bound,11655179.281046318,11793500.587106992,11922463.020836968,1.0
gpt-oss-20b,coding,8,reference,120,isolated_fastest,1.0,nominal_volume,lp_plan,11655179.28104632,11793500.587106992,11922463.020836972,1.0
