model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,median_shed_fraction,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,reference,1,queue_haul,0.8,4000,20,complete,0.0,0.0004856304593803078,1.3158780584327945,4.044557446950104e-05,1.3084484241957922e-05,1.3166639424073523,0.0004409021498829907,0.0,0.0,5.0,45634.99999999407,"[0.9906552654380365, 0.9525051750921504, 0.960180358583276]","[0.02642989632142248, 0.10068560811218182]","[0.8357665738704563, 0.8170137202066778]","[1513.348260683347, 16538.01920144342]","[22578.621249999997, 50844.8825]","[19145.40275, 46323.3]","[3877.416, 0.0]","[10427.0772637756, 20849.203740466273]",4.80870087055322,"[0.038658069257578045, 0.040018961096384253]","[5016.78125, 0.0, 7549.0, 1.625]","[0.2293878599859253, 0.0, 0.12147318489910902, 0.00011918629541153515]",520760.59375,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,queue_haul,1.0,4000,20,complete,0.0,0.6238073402010642,1.7838268253668932,0.05225289960219413,1.3227248667847158e-05,1.767510088677448,0.00745813640591281,0.0,0.0,22585.0,60665.899999998386,"[0.9906552654380366, 0.9525051750921504, 0.9601803585832759]","[0.03308091207639172, 0.17477669953410135]","[0.6686132590963662, 0.6536109761653424]","[215.0791034151373, 8027.7484762522245]","[20624.957, 47601.75]","[17306.249750000003, 34147.013]","[3877.416, 0.0]","[7545.87010106691, 10397.544941558011]",4.80870087055322,"[0.038658069257578045, 0.040018961096384253]","[6855.93425, 0.0, 19725.287, 1.625]","[0.34009980506016885, 0.0, 0.4272990250573381, 0.00011918629541153515]",506745.15375000006,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,queue_haul,1.2,4000,20,complete,0.037136068177661255,1.091369607913801,2.869491384211033,0.09089436195364335,0.4510904529712197,2.89618352028739,0.017682504390412242,0.0,12016.0,33784.0,61110.499999998516,"[0.9906552654380365, 0.9525051750921504, 0.9601803585832759]","[0.03133110083673244, 0.1946375507480396]","[0.5571777159136382, 0.5446758134711189]","[53.69913291532411, 3129.4460989370796]","[20345.837249999997, 44842.97525]","[15096.096000000001, 27064.534999999996]","[3877.416, 0.0]","[6037.315986244762, 5398.633369079859]",4.80870087055322,"[0.038658069257578045, 0.040018961096384253]","[9066.088, 0.0, 26807.765000000003, 1.625]","[0.532364756533594, 0.0, 0.8240927586091644, 0.00011918629541153515]",497452.52200000006,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,greedy,0.8,4000,20,complete,6.724109384643607e-06,0.00016705559177506717,1.2031130678788633,1.3993810345550261e-05,8.694109899547535e-06,1.2039643695843676,4.154459356573586e-05,0.0,1.0,9.0,45449.24999999508,"[0.9906556954681669, 0.8683323906814993, 0.8937339044993046]","[0.026247993681229355, 0.10104805724163986]","[0.8400688794774517, 0.8125807611314435]","[1423.7172177965913, 15123.757395479357]","[22801.37175, 48463.05]","[19519.084, 44650.6]","[4354.28475, 0.0]","[10383.441312953259, 20878.39013663757]",4.807141028982753,"[0.038658069894190995, 0.04001384129086573]","[5540.48125, 0.0, 7371.5, 2.2474999999999996]","[0.2701936178984437, 0.0, 0.08466552059557929, 1.6958966599613802e-05]",520413.77124999993,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,greedy,1.0,4000,20,complete,6.793489764874029e-06,0.6080253490362988,1.7837638087218115,0.050668585545176496,4.369315399693582e-05,1.767447751789475,0.008907834400918276,0.0,1.0,22399.0,55558.19999999799,"[0.9906556954681669, 0.8683323906814993, 0.8937339044993046]","[0.03176319781050671, 0.17264112175411997]","[0.6720551035819617, 0.6500646089051547]","[155.8694286265637, 7655.401953046797]","[20847.780499999997, 45816.4]","[17680.052, 34030.901]","[4354.28475, 0.0]","[7589.106702529639, 10582.594913706826]",4.807141028982753,"[0.038658069894190995, 0.04001384129086573]","[7379.513250000001, 0.0, 17991.199, 2.2474999999999996]","[0.3809050951965561, 0.0, 0.3576796949754666, 1.6958966599613802e-05]",507955.0402499999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,greedy,1.2,4000,20,complete,0.0371427922870459,1.0896053773923804,2.940735544136162,0.09080010128260989,0.19222401436618106,2.9631651653863567,0.014681583301018108,0.0,11243.0,33773.0,60923.79999999952,"[0.9906556954681672, 0.8683323906814993, 0.8937339044993046]","[0.02963267186994688, 0.19227147638033318]","[0.5600459196516349, 0.5417205074209622]","[14.191427404274952, 3012.421798758068]","[20568.552999999996, 43852.948000000004]","[15806.7455, 26877.50125]","[4354.28475, 0.0]","[6113.368336922191, 5591.936369434526]",4.807141028982753,"[0.038658069894190995, 0.04001384129086573]","[9252.81975, 0.0, 25144.598749999997, 2.2474999999999996]","[0.5548718149580597, 0.0, 0.7556389399886642, 1.6958966599613802e-05]",498928.3339999999,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,kv_only,0.8,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.6250192988125616, 0.6250793418280096]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,kv_only,1.0,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.50001543905005, 0.5000634734624081]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,kv_only,1.2,4000,20,complete,0.00012066420208005954,0.0007333364347205146,0.0017856222272478548,6.10756858610868e-05,0.0005949371060416796,0.0017020539533593951,0.0008609609161444175,0.6052500000000001,1.0,5.0,24.0,"[0.9334792040744885, 0.9825462648320539, 0.9718105123179972]","[0.0, 0.0]","[0.4166795325417082, 0.41671956121867326]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0011776478173516267,"[0.0375544587136165, 0.03755470408531233]","[0.0, 2.5965, 0.0, 7.097500000000002]","[0.0, 0.00021632969212156657, 0.0, 0.000628414977716927]",533318.3060000001,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
gpt-oss-20b,coding,8,reference,1,replay_only,0.8,4000,20,complete,0.0,0.0001492244993311815,1.029946694517228,1.2506959738876373e-05,0.0,1.0263302354050516,2.5999710935250634e-05,0.0,0.0,4.0,44246.799999999916,"[0.9412012334415085, 0.604318478538785, 0.6752706083887349]","[0.02508596868498315, 0.09885217830860804]","[0.8279894411988413, 0.8246081035298711]","[1397.255566100026, 17111.991273734886]","[22612.94775, 49636.75]","[19330.6765, 46765.4]","[4080.89225, 0.0]","[9855.624498134526, 21267.529317034634]",4.806519068305758,"[0.03860288577144636, 0.04003948839667626]","[4446.68125, 0.0, 6430.45, 0.0]","[0.22782430299670825, 0.0, 0.1134803662497537, 0.0]",522450.86875,"[2.280176174037911, 8.73331359588583, 10.96737169678716]"
