model,workload,density,wan_gbps,deadline_s,policy,service_factor,evaluation,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,network_budget_gbps_median,action_counts_mean,action_shed_mw_mean,mean_not_selected
gpt-oss-20b,coding,8,reference,1,lp_bound,1.0,nominal_volume,4000,20,complete,1.5830632181199522,4.697772506763282,8.054438246021066,1.5994760833990769,8.050275147092961,0.05371903289990639,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,1,lp_plan,1.0,nominal_volume,4000,20,complete,1.5830035264237778,4.697750651456417,8.054047682900398,1.5994157518893237,8.049884794541677,0.053718782727809625,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[28039.6, 0.0, 53872.55, 2.05]","[2.517025529863117, 0.0, 2.2929262885999635, 0.00017456462731427048]",451413.8
gpt-oss-20b,coding,8,reference,1,greedy,1.0,nominal_volume,4000,20,complete,1.5667288750051538,4.527554905769821,7.544559858349891,1.582963563104969,7.540677285585037,0.051769388910728506,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[22808.1, 0.0, 49205.25, 2.95]","[1.5148105661421738, 0.0, 3.109575348600411, 1.8446405073340772e-05]",461311.7
gpt-oss-20b,coding,8,reference,1,kv_only,1.0,nominal_volume,4000,20,complete,0.0005346067144660486,0.0010530297318066596,0.0018524158405864488,0.0005402304516086778,0.0018353972304544807,1.203967300813565e-05,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 2.75, 0.0, 10.85]","[0.0, 0.00023046772035943385, 0.0, 0.0009443178241855314]",533314.4
gpt-oss-20b,coding,8,reference,1,replay_only,1.0,nominal_volume,4000,20,complete,1.5667227563110877,4.527520095552427,7.54452364012739,1.5829574049180133,7.540641088197674,0.05176899006523285,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[22966.9, 0.0, 49550.4, 0.0]","[1.514705508320626, 0.0, 3.1105526743077005, 0.0]",460810.7
gpt-oss-20b,coding,8,reference,1,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.0005346067144660486,0.0010530297318066596,0.0018524158405864488,0.0005402304516086778,0.0018353972304544807,1.203967300813565e-05,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 2.75, 0.0, 10.85]","[0.0, 0.00023046772035943385, 0.0, 0.0009443178241855314]",533314.4
gpt-oss-20b,coding,8,reference,3,lp_bound,1.0,nominal_volume,4000,20,complete,4.397068204954654,7.85556628551334,10.06308903239484,4.442642726275225,10.057858846993101,0.08979570145844482,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
gpt-oss-20b,coding,8,reference,3,lp_plan,1.0,nominal_volume,4000,20,complete,4.397006408002923,7.855489247439833,10.063052972158589,4.442580276935708,10.057822788783353,0.0897948477515895,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[56931.05, 0.0, 82306.95, 4.35]","[4.3279172738684535, 0.0, 3.446674398910911, 0.0002034829715179979]",394085.65
gpt-oss-20b,coding,8,reference,3,greedy,1.0,nominal_volume,4000,20,complete,4.182996188692371,7.33947156876666,9.647819381694813,4.226377895518866,9.642821448139282,0.08391081031954242,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[48598.0, 0.0, 63165.25, 2.65]","[2.9938383252755245, 0.0, 4.386177781200189, 1.3824392333433778e-05]",421562.1
gpt-oss-20b,coding,8,reference,3,kv_only,1.0,nominal_volume,4000,20,complete,0.001919273068292211,0.0033108213102704975,0.005685498336476922,0.0019395600097412906,0.005633182542312613,3.786359477780411e-05,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 8.3, 0.0, 32.1]","[0.0, 0.0007279127701730583, 0.0, 0.002909023698776712]",533287.6
gpt-oss-20b,coding,8,reference,3,replay_only,1.0,nominal_volume,4000,20,complete,4.318815495760212,7.380482093402921,9.64780957769816,4.363679123084269,9.642811649567566,0.08437697794120992,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[49887.1, 0.0, 64544.1, 0.0]","[2.9946059266112672, 0.0, 4.396758777325845, 0.0]",418896.8
gpt-oss-20b,coding,8,reference,3,isolated_fastest,1.0,nominal_volume,4000,20,complete,0.001919273068292211,0.0033108213102704975,0.005685498336476922,0.0019395600097412906,0.005633182542312613,3.786359477780411e-05,"[2.280176174037911, 8.73331359588583, 11.01348976992374]","[0.0, 8.3, 0.0, 32.1]","[0.0, 0.0007279127701730583, 0.0, 0.002909023698776712]",533287.6
gpt-oss-20b,coding,8,reference,10,lp_bound,1.0,nominal_volume,4000,20,complete,8.837921843687505,10.215891754357843,11.2739765956815,8.929450909797213,11.273949066262276,0.11655770226093567,"[2.280176174037911, 8.73331359588583, 11.01348976992374]",,,
