model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,reference,3,replay_only,1.2,4000,-3093906.793934919,-485889.8872948922,432127.5877171739,0.21975
gpt-oss-20b,coding,8,reference,3,isolated_fastest,0.8,4000,-4947.496333793623,134459.0722615969,1497179.9754102575,0.55
gpt-oss-20b,coding,8,reference,3,isolated_fastest,1.0,4000,438127.2563506015,2307446.429361758,5092818.880027625,1.0
gpt-oss-20b,coding,8,reference,3,isolated_fastest,1.2,4000,2044292.0392051432,4715453.550191691,6629205.166785425,1.0
gpt-oss-20b,coding,8,reference,10,greedy,0.8,4000,-562952.2175194917,0.04290770446046288,172296.24072695733,0.5705
gpt-oss-20b,coding,8,reference,10,greedy,1.0,4000,-5262330.683242381,-710747.2547297012,607756.0058385739,0.2655
gpt-oss-20b,coding,8,reference,10,greedy,1.2,4000,-975002.3511956611,277145.44543858897,2611556.8702070354,0.71375
gpt-oss-20b,coding,8,reference,10,kv_only,0.8,4000,-17446.3408575701,-6048.835939392777,159016.8284925204,0.11325
gpt-oss-20b,coding,8,reference,10,kv_only,1.0,4000,2997171.229714907,5350625.279428879,9518901.129602965,1.0
gpt-oss-20b,coding,8,reference,10,kv_only,1.2,4000,5977801.055305965,9218920.877507526,11229996.259958286,1.0
gpt-oss-20b,coding,8,reference,10,replay_only,0.8,4000,-562936.5855449067,5.754881793793732,172300.1210633578,0.81325
gpt-oss-20b,coding,8,reference,10,replay_only,1.0,4000,-5262326.303969729,-710736.734499278,607806.9968582335,0.2655
gpt-oss-20b,coding,8,reference,10,replay_only,1.2,4000,-974994.8673328168,277145.44543858897,2611559.5437730765,0.71375
gpt-oss-20b,coding,8,reference,10,isolated_fastest,0.8,4000,-17446.3408575701,-6048.835939392777,159016.8284925204,0.11325
gpt-oss-20b,coding,8,reference,10,isolated_fastest,1.0,4000,2997171.229714907,5350625.279428879,9518901.129602965,1.0
