phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,292.8586610878661
baseline,1,239,239,1.0,82.79728033472803
drain,0,62,62,1.0,237.82548387096776
drain,1,62,62,1.0,329.5572580645162
post,0,239,239,1.0,135.06648535564852
post,1,239,239,1.0,285.27439330543933
