phase,gpu,samples,power_mean_w
baseline,0,120,206.19883333333334
baseline,1,120,85.31575
drain,0,177,173.03446327683616
drain,1,177,99.50751412429379
post,0,119,95.0950420168067
post,1,119,153.2562184873949
