added_sessions,changed_sessions,condition,label,redirected_sessions,removed_sessions,unchanged_sessions
0,0,original,Original,0,0,14
0,13,germany_bandwidth_drop,Germany bandwidth,13,0,1
1,2,east_prefill_drop,East prefill,0,1,13
