workload,deadline_s,policy,raw_handoff_power_mw,queue_cleared_handoff_power_mw
coding,30.0,greedy,0.344718456941472,0.3447184569414719
coding,30.0,isolated_fastest,0.2621761397203661,0.23326970726080545
coding,30.0,kv_only,0.17478275343741498,0.1429255929119115
coding,30.0,queue_haul,0.3810990349298894,0.38109903492988945
coding,30.0,replay_only,0.36693607639574694,0.36693607639574727
coding,60.0,greedy,0.38004279139234165,0.38004279139234154
coding,60.0,isolated_fastest,0.29022210338709625,0.2745010564951513
coding,60.0,kv_only,0.2675867666566547,0.24287654618384524
coding,60.0,queue_haul,0.4281227201553416,0.4281227201553413
coding,60.0,replay_only,0.4171803707129663,0.4171803707129666
coding,120.0,greedy,0.3817684431301861,0.38176844313018615
coding,120.0,isolated_fastest,0.2989078923738814,0.2947790043631256
coding,120.0,kv_only,0.2954417209839881,0.272772913259265
coding,120.0,queue_haul,0.43596907775357047,0.4359690777535106
coding,120.0,replay_only,0.4242799241293498,0.4242799241293497
coding_long,30.0,greedy,0.30578133933831686,0.30578133933831675
coding_long,30.0,isolated_fastest,0.10277371611033749,0.10277371069802803
coding_long,30.0,kv_only,0.10048324774747762,0.09411793830841793
coding_long,30.0,queue_haul,0.32178214059997634,0.32178214059997673
coding_long,30.0,replay_only,0.3056948708382379,0.3056948708382378
coding_long,60.0,greedy,0.35063400783423604,0.3506340078342359
coding_long,60.0,isolated_fastest,0.1900846329705398,0.17947309394485556
coding_long,60.0,kv_only,0.18720255879362901,0.1706387628816264
coding_long,60.0,queue_haul,0.3748851360117655,0.3748851360117658
coding_long,60.0,replay_only,0.36722830613659985,0.36722830613659996
coding_long,120.0,greedy,0.3764608259242873,0.3764608259242872
coding_long,120.0,isolated_fastest,0.2783009961835903,0.2565104354946596
coding_long,120.0,kv_only,0.28972845317760054,0.27230575907525806
coding_long,120.0,queue_haul,0.4158637536480996,0.4158637536480995
coding_long,120.0,replay_only,0.4115941364640545,0.41159413646405424
