catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,session_id,token_distribution
,,medium-fixed-2500mbps-30s,medium,8192,6.565223532,0.045391179000000004,0.42568599,57,6.990909522,e0daa9be315f7db5,replay,6.379972132,0.000735504,6.241193437,0,greedy,6.379973122,6.380103331,6.241928941,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.000735504,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,7.12478813,-0.018843965000000018,0.371812239,57,7.496600369,e0daa9be315f7db5,replay,5.93434363,0.001032231,4.390571476,1,greedy,5.93434631,5.934504048,4.391603707,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.001032231,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,medium-fixed-2500mbps-30s,medium,8192,7.676083231,-0.06784804,0.598702319,57,8.27478555,e0daa9be315f7db5,replay,6.520022395,0.002082892,6.33185935,2,greedy,6.520025365,6.52052518,6.333942242,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.002082892,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,8.453130592,-0.04677327999999997,0.374919402,57,8.828049994,e0daa9be315f7db5,replay,6.288728634,0.003637718,6.097381748,3,greedy,6.288730064,6.288904333,6.101019466,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.003637718,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,medium-fixed-2500mbps-30s,medium,8192,9.007324908,-0.026286052999999976,0.376318029,57,9.383642937,e0daa9be315f7db5,replay,6.447363002,0.004036114,6.307328439,4,greedy,6.447364172,6.44752603,6.311364553,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.004036114,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,medium-fixed-2500mbps-30s,medium,8192,9.519955423,-0.029501722000000008,0.377914175,57,9.897869598,e0daa9be315f7db5,replay,6.564097863,0.004448511,6.374611679,5,greedy,6.564100763,6.564308711,6.37906019,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.004448511,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,medium-fixed-2500mbps-30s,medium,8192,10.078742618,-0.0023150379999999915,0.378123883,57,10.456866501,e0daa9be315f7db5,replay,6.312076416,0.004968756,6.118786847,6,greedy,6.312077166,6.312231865,6.123755603,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.004968756,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,medium-fixed-2500mbps-30s,medium,8192,10.654755439,-0.021549554999999998,0.418234936,57,11.072990375,e0daa9be315f7db5,replay,6.334654795,0.005812528,6.18815393,7,greedy,6.334656475,6.334829374,6.193966458,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,0.005812528,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,medium-fixed-2500mbps-30s,medium,8192,6.027798193,-0.0275416,0.352753211,57,6.380551404,e0daa9be315f7db5,replay,5.581358754,0.0010749,5.446174896,0,queue_haul,5.581360874,5.581840579,5.447249796,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.0010749,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,6.514163617,-0.03825339999999999,0.352402804,57,6.866566421,e0daa9be315f7db5,replay,5.449087738,0.001733104,5.445609891,1,queue_haul,5.449089048,5.449244707,5.447342995,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.001733104,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,fixed
,,medium-fixed-2500mbps-30s,medium,8192,7.043389657,-0.07573454800000001,0.590815811,57,7.634205468,e0daa9be315f7db5,replay,6.026795913,0.002846033,5.844035413,2,queue_haul,6.026797743,6.02707389,5.846881446,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.002846033,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,7.812115744,-0.044393652000000006,0.37729903,57,8.189414774,e0daa9be315f7db5,replay,5.758454438,0.003734635,5.576769227,3,queue_haul,5.758456158,5.759133681,5.580503862,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.003734635,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,fixed
,,medium-fixed-2500mbps-30s,medium,8192,8.366872095,-0.045300973999999994,0.357303108,57,8.724175203,e0daa9be315f7db5,replay,5.938095287,0.004647096,5.798739379,4,queue_haul,5.938097257,5.938450204,5.803386475,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.004647096,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,medium-fixed-2500mbps-30s,medium,8192,8.857639117,-0.03142172500000001,0.375994172,57,9.233633289,e0daa9be315f7db5,replay,5.827102512,0.006601028,5.639418578,5,queue_haul,5.827105412,5.827441129,5.646019606,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.006601028,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
,,medium-fixed-2500mbps-30s,medium,8192,9.411385127,-0.029273435999999986,0.351165485,57,9.762550612,e0daa9be315f7db5,replay,5.804212667,0.007127433,5.616484173,6,queue_haul,5.804214037,5.804382415,5.623611606,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.007127433,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,medium-fixed-2500mbps-30s,medium,8192,9.940367669,-0.08727690799999999,0.352507583,57,10.292875252,e0daa9be315f7db5,replay,5.828139062,0.008168693,5.683028027,7,queue_haul,5.828140542,5.82830017,5.69119672,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,0.008168693,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,fixed
,,medium-fixed-2500mbps-30s,medium,8192,12.033722522,0.05110655999999997,0.431401371,57,12.465123893,e0daa9be315f7db5,kv_transfer,2.484922609,0.001076059,2.325855806,0,kv_only,2.484923979,2.485095067,2.326931865,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,0.001076059,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,fixed
,,medium-fixed-2500mbps-30s,medium,8192,13.141083223,-0.07793211700000002,0.588618242,57,13.729701465,e0daa9be315f7db5,kv_transfer,3.589769463,0.002675124,3.393083144,1,kv_only,3.589770543,3.590148679,3.395758268,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,0.002675124,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,fixed
,,medium-fixed-2500mbps-30s,medium,8192,14.458056441,-0.03997857399999999,0.362625508,57,14.820681949,e0daa9be315f7db5,kv_transfer,4.816127614,0.003628545,4.653444835,2,kv_only,4.816128704,4.816296722,4.65707338,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,0.003628545,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,fixed
,,medium-fixed-2500mbps-30s,medium,8192,15.517305295,-0.025878226999999976,0.354560694,57,15.871865989,e0daa9be315f7db5,kv_transfer,6.648522253,0.006088622,6.449888652,3,kv_only,6.648523243,6.648727211,6.455977274,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,0.006088622,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,fixed
,,medium-fixed-2500mbps-30s,medium,8192,14.960406755,-0.03345547600000004,0.373960421,57,15.334367176,e0daa9be315f7db5,kv_transfer,8.887191949,0.006493279,8.685887373,4,kv_only,8.887192929,8.887341597,8.692380652,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,0.006493279,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,fixed
