job_id|job_name|state|elapsed|exit_code|node_list
36822272|qh-w8-packing|COMPLETED|08:08:22|0:0|sh03-11n16
36822272.batch|batch|COMPLETED|08:08:22|0:0|sh03-11n16
36822272.extern|extern|COMPLETED|08:08:24|0:0|sh03-11n16
