committed_before_power_window,committed_by_deadline,condition,context_profile,episode,hit_power_target,match_id,policy,power_attainment_fraction,power_target_fraction,required_deadline_s,sample_id,scenario_id,token_distribution
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,greedy,1,1.0,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,fixed
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,queue_haul,1,1.0,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,fixed
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,kv_only,1,1.0,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,fixed
8,8,medium-fixed-2500mbps-30s,medium,57,True,e0daa9be315f7db5,replay_only,1,1.0,30.0,51fde7b51569b7ba,p-667f7c7769a4c67e,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,greedy,1,1.0,19.0,7094953b638284e1,p-8c051463f347487c,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,kv_only,1,1.0,19.0,7094953b638284e1,p-4f2edf5efa85dfae,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,replay_only,1,1.0,19.0,7094953b638284e1,p-1ecc611e563b8377,fixed
8,8,small-fixed-10000mbps-19s,small,42,True,6c942039151e55f3,queue_haul,1,1.0,19.0,7094953b638284e1,p-e2fddaf56e778250,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,queue_haul,1,1.0,30.0,e59269064ede73aa,p-8d69ad3edc06e4b8,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,kv_only,1,1.0,30.0,e59269064ede73aa,p-74c7abddfd1e823d,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,replay_only,1,1.0,30.0,e59269064ede73aa,p-9dcaad207b1a509b,fixed
8,8,small-fixed-10000mbps-30s,small,47,True,17092eba890236a4,greedy,1,1.0,30.0,e59269064ede73aa,p-dacf3910a4ee273c,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,kv_only,1,1.0,30.0,7d1b0ab854d9df69,p-44bc0adf0fe5098b,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,greedy,1,1.0,30.0,7d1b0ab854d9df69,p-8f4276de97c59e2e,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,queue_haul,1,1.0,30.0,7d1b0ab854d9df69,p-09cfe127f6c1e59f,fixed
8,8,mixed-fixed-10000mbps-30s,mixed,95,True,640a9adb735d6f3c,replay_only,1,1.0,30.0,7d1b0ab854d9df69,p-bc461d9bb1fc33c6,fixed
8,8,mixed-fixed-5000mbps-30s,mixed,88,True,529540c1951b0b9a,kv_only,1,1.0,30.0,a9500bdb35e133a1,p-ee29062a532a40da,fixed
8,8,mixed-fixed-5000mbps-30s,mixed,88,True,529540c1951b0b9a,queue_haul,1,1.0,30.0,a9500bdb35e133a1,p-bc6bf4c08fa3e33e,fixed
8,8,mixed-fixed-5000mbps-30s,mixed,88,True,529540c1951b0b9a,replay_only,1,1.0,30.0,a9500bdb35e133a1,p-c7b753734b1cc03c,fixed
8,8,mixed-fixed-5000mbps-30s,mixed,88,True,529540c1951b0b9a,greedy,1,1.0,30.0,a9500bdb35e133a1,p-69c9c271516f900f,fixed
8,8,large-fixed-10000mbps-19s,large,114,True,7148e115bcd4269f,kv_only,1,1.0,19.0,e33c7532b46acaed,p-540cef682764a51a,fixed
8,8,large-fixed-10000mbps-19s,large,114,True,7148e115bcd4269f,replay_only,1,1.0,19.0,e33c7532b46acaed,p-070e598bf0a43f7f,fixed
