bandwidth_gbps,deadline_s,kv_transfer_actions,kv_transfer_share,replay_actions,replay_share,selected_actions
1.0,30,0,0.0,120,1.0,120
2.5,30,0,0.0,120,1.0,120
5.0,30,144,0.5454545454545454,120,0.45454545454545453,264
10.0,30,183,0.6931818181818182,81,0.3068181818181818,264
