commit_100_s,commit_50_s,commit_90_s,completed_migrations,condition,context_profile,deadline_s,episode,match_id,matched_control_complete,planned_migrations,policy,readiness_100_s,readiness_50_s,readiness_90_s,required_deadline_s,sample_id,scenario_id,status,token_distribution
6.564308711,6.334829374,6.564308711,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,greedy,6.37906019,6.193966458,6.37906019,30.0,51fde7b51569b7ba,p-252031a0a426b9bf,complete,fixed
6.02707389,5.804382415,6.02707389,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,queue_haul,5.846881446,5.623611606,5.846881446,30.0,51fde7b51569b7ba,p-9cdf3380142102f3,complete,fixed
12.032302356,6.648727211,12.032302356,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,kv_only,12.011838988,6.455977274,12.011838988,30.0,51fde7b51569b7ba,p-6faa81fd25261e5d,complete,fixed
6.035134514,5.814268488,6.035134514,8,medium-fixed-2500mbps-30s,medium,180.0,57,e0daa9be315f7db5,True,8,replay_only,5.856595161,5.650029358,5.856595161,30.0,51fde7b51569b7ba,p-667f7c7769a4c67e,complete,fixed
3.07768593,2.974371934,3.07768593,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,greedy,2.825564119,2.756042135,2.825564119,19.0,7094953b638284e1,p-8c051463f347487c,complete,fixed
2.521985063,1.67873631,2.521985063,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,kv_only,2.322174279,1.490896952,2.322174279,19.0,7094953b638284e1,p-4f2edf5efa85dfae,complete,fixed
2.980519187,2.909308588,2.980519187,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,replay_only,2.791608089,2.743406654,2.791608089,19.0,7094953b638284e1,p-1ecc611e563b8377,complete,fixed
3.017147231,2.788613387,3.017147231,8,small-fixed-10000mbps-19s,small,180.0,42,6c942039151e55f3,True,8,queue_haul,2.833499824,2.603707722,2.833499824,19.0,7094953b638284e1,p-e2fddaf56e778250,complete,fixed
3.081640497,2.941556254,3.081640497,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,queue_haul,2.892485665,2.800363052,2.892485665,30.0,e59269064ede73aa,p-8d69ad3edc06e4b8,complete,fixed
2.313558187,1.733807365,2.313558187,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,kv_only,2.111495294,1.495824492,2.111495294,30.0,e59269064ede73aa,p-74c7abddfd1e823d,complete,fixed
2.755151037,2.66668553,2.755151037,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,replay_only,2.572714204,2.52633612,2.572714204,30.0,e59269064ede73aa,p-9dcaad207b1a509b,complete,fixed
2.744106854,2.674781443,2.744106854,8,small-fixed-10000mbps-30s,small,180.0,47,17092eba890236a4,True,8,greedy,2.580154175,2.513845673,2.580154175,30.0,e59269064ede73aa,p-dacf3910a4ee273c,complete,fixed
