attainment_fraction,bandwidth_gbps,deadline_s,episodes,episodes_meeting_deadline,policy
1.0,1.0,30,15,15,queue_haul
1.0,1.0,30,15,15,replay_only
0.4,1.0,30,15,6,kv_only
1.0,2.5,30,15,15,queue_haul
1.0,2.5,30,15,15,replay_only
1.0,2.5,30,15,15,kv_only
1.0,5.0,30,33,33,queue_haul
0.5151515151515151,5.0,30,33,17,replay_only
1.0,5.0,30,33,33,kv_only
1.0,10.0,30,33,33,queue_haul
0.5757575757575758,10.0,30,33,19,replay_only
1.0,10.0,30,33,33,kv_only
