phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,298.7364435146444
baseline,1,239,239,1.0,83.03970711297072
drain,0,59,59,1.0,224.14050847457625
drain,1,59,59,1.0,335.1555932203389
post,0,239,239,1.0,137.88108786610877
post,1,239,239,1.0,291.5626359832636
