phase,gpu,samples,power_mean_w
baseline,0,240,300.59891666666664
baseline,1,240,86.09337500000001
drain,0,33,278.39575757575756
drain,1,33,297.3181818181818
post,0,239,257.9563179916318
post,1,239,261.96652719665275
