dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,committed,0.843329668045044,0.4087386131286621,0.0,0.4087386131286621,1.1845202445983887,1.252068281173706,1.2524101734161377,3.6716461181640625e-05,0.00019097328186035156
1,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,committed,0.8949990272521973,5.480721950531006,0.7986228466033936,6.279344797134399,6.369431972503662,13.281461238861084,13.324423789978027,3.188112735748291,3.760526657104492
2,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,S,committed,1.7838678359985352,9.980504989624023,0.7653555870056152,10.745860576629639,11.760392427444458,14.497238874435425,14.512712240219116,1.5603511333465576,1.187934398651123
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,committed,2.2220370769500732,9.545634269714355,0.7145771980285645,10.26021146774292,11.760440349578857,12.482537508010864,12.48300838470459,2.002716064453125e-05,0.7152225971221924
4,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,13.35346794128418,0.37794947624206543,0.0,0.37794947624206543,13.673067808151245,13.731417417526245,13.75670313835144,3.528594970703125e-05,0.025191545486450195
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,committed,14.885035276412964,0.6896522045135498,0.09191203117370605,0.7815642356872559,15.570129156112671,17.667965412139893,17.668107748031616,2.0011582374572754,0.09219646453857422
6,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,committed,18.467868089675903,0.23258018493652344,0.0,0.23258018493652344,18.694791555404663,18.700448274612427,18.70073962211609,2.5272369384765625e-05,0.00018978118896484375
7,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,committed,19.47276020050049,0.31739211082458496,0.0,0.31739211082458496,19.78424572944641,19.790152311325073,19.790440320968628,2.47955322265625e-05,0.00018668174743652344
8,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,20.579027891159058,0.37506699562072754,0.3751678466796875,0.750234842300415,20.948390245437622,24.952064752578735,24.952256202697754,3.622556447982788,0.37552499771118164
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,committed,25.7613525390625,0.585092306137085,0.5665836334228516,1.1516759395599365,26.340285062789917,27.793762683868408,27.793933391571045,0.8804247379302979,0.5669524669647217
10,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,committed,28.601593255996704,0.3125019073486328,0.23145604133605957,0.5439579486846924,28.90872836112976,31.22358465194702,31.223772287368774,2.0778048038482666,0.23180699348449707
11,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,committed,32.073323011398315,1.2159109115600586,0.0,1.2159109115600586,33.283348083496094,33.289233922958374,33.28986573219299,2.3603439331054688e-05,0.0005061626434326172
12,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,R,committed,34.075247287750244,0.28263115882873535,0.0,0.28263115882873535,34.351762771606445,34.35787844657898,34.35819888114929,8.034706115722656e-05,0.00016427040100097656
13,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,committed,35.14705204963684,1.785353660583496,0.32474589347839355,2.1100995540618896,36.92719864845276,39.46309018135071,39.46319818496704,2.2057418823242188,0.3249847888946533
