policy,requested_fraction,lower_quartile,median,upper_quartile,episodes
queue_haul,0.6,1.2858755617415492,1.2858755617415494,1.2858755617415494,3
queue_haul,0.77,1.1740308538821047,1.1740308538821047,1.1740308538821047,3
queue_haul,0.54,1.5286570021290062,1.5286570021290062,1.5286570021290062,3
greedy,0.6,1.1253394019368523,1.1253394019368523,1.1253394019368523,3
greedy,0.77,1.1278565167476229,1.1278565167476229,1.1278565167476229,3
greedy,0.54,1.1141957605092996,1.1141957605092996,1.1141957605092996,3
isolated_fastest,0.6,0.8760413526937325,0.8760413526937325,0.8760413526937325,3
isolated_fastest,0.77,0.8791830820154612,0.8791830820154612,0.8791830820154612,3
isolated_fastest,0.54,0.47402902469946756,0.47402902469946756,0.47402902469946756,3
replay_only,0.6,0.7042120181316422,0.7042120181316422,0.7042120181316422,3
replay_only,0.77,0.5524773415830618,0.5524773415830618,0.5524773415830618,3
replay_only,0.54,0.889845938200404,0.889845938200404,0.889845938200404,3
kv_only,0.6,0.6596781327068695,0.6596781327068695,0.6596781327068695,3
kv_only,0.77,0.6793983562798243,0.6793983562798243,0.6793983562798243,3
kv_only,0.54,0.608222274193634,0.608222274193634,0.608222274193634,3
queue_haul_power_blind,0.6,0.5674875353480785,0.5674875353480785,0.5674875353480785,3
queue_haul_power_blind,0.77,0.7289958373926143,0.7289958373926143,0.7289958373926143,3
queue_haul_power_blind,0.54,0.6006688829717554,0.6006688829717554,0.6006688829717554,3
