auroc,brier,brier_ci_high,brier_ci_low,model,n_checkpoints,n_runs,note,positive_rate,source,target
0.973202614379085,0.04156557145733528,0.06633366158203173,0.01930687105880635,g4_plus_g5,499,20,,0.17034068136272545,swe_agent_pilot,y_future_progress_drop_h5
0.9768968456947996,0.03933643964066982,0.06291522069206332,0.019280866108024045,ledger_basic,499,20,,0.17034068136272545,swe_agent_pilot,y_future_progress_drop_h5
0.8965615231599886,0.07778896572120715,0.10738934386329418,0.04919308735625017,ledger_dynamics,499,20,,0.17034068136272545,swe_agent_pilot,y_future_progress_drop_h5
0.6255754475703325,0.14162896462928085,0.17314072078168666,0.11151858838442111,time_only,499,20,,0.17034068136272545,swe_agent_pilot,y_future_progress_drop_h5
0.41111733094491715,0.2922818827060548,0.33985082823308266,0.2458519311233793,g4_plus_g5,599,20,,0.4674457429048414,swe_agent_pilot,y_success_eventual
0.4103784146887595,0.2911810432855222,0.34034331557020886,0.24463673331479785,ledger_basic,599,20,,0.4674457429048414,swe_agent_pilot,y_success_eventual
0.3847962382445141,0.2721262959077831,0.29524484792509487,0.2506937160504511,ledger_dynamics,599,20,,0.4674457429048414,swe_agent_pilot,y_success_eventual
0.281180026869682,0.28256053563653377,0.30568174681123206,0.26268325497280726,time_only,599,20,,0.4674457429048414,swe_agent_pilot,y_success_eventual
0.18686868686868688,0.008400261424922709,0.024352704170814546,0.0002722506045963507,g4_plus_g5,499,20,,0.008016032064128256,swe_agent_pilot,y_validation_new_work_h5
0.15757575757575756,0.008330856377028389,0.02434424897451253,0.00023092530778272052,ledger_basic,499,20,,0.008016032064128256,swe_agent_pilot,y_validation_new_work_h5
0.1494949494949495,0.008110906545947538,0.024143967025148844,0.00011102417507173087,ledger_dynamics,499,20,,0.008016032064128256,swe_agent_pilot,y_validation_new_work_h5
0.03737373737373737,0.016317137880214595,0.0360029240160764,4.5659490824034646e-05,time_only,499,20,,0.008016032064128256,swe_agent_pilot,y_validation_new_work_h5
0.9333333333333333,0.09340732076217852,0.15197683646045634,0.010813414771211002,g4_plus_g5,23,10,,0.13043478260869565,tb_live,y_future_progress_drop_h5
0.9166666666666666,0.09614838939749977,0.1563182549725739,0.01128887635285281,ledger_basic,23,10,,0.13043478260869565,tb_live,y_future_progress_drop_h5
0.23333333333333334,0.12393044038159841,0.228137281149271,0.018036054197238048,ledger_dynamics,23,10,,0.13043478260869565,tb_live,y_future_progress_drop_h5
0.8666666666666667,0.13280946592119064,0.20312772510947974,0.023734807450615496,time_only,23,10,,0.13043478260869565,tb_live,y_future_progress_drop_h5
,1.0000000000000019e-06,1.000000000000002e-06,1.0000000000000016e-06,g4_plus_g5,83,12,single-class y,1.0,tb_live,y_success_eventual
,1.0000000000000019e-06,1.000000000000002e-06,1.0000000000000016e-06,ledger_basic,83,12,single-class y,1.0,tb_live,y_success_eventual
,1.0000000000000019e-06,1.000000000000002e-06,1.0000000000000016e-06,ledger_dynamics,83,12,single-class y,1.0,tb_live,y_success_eventual
,1.0000000000000019e-06,1.000000000000002e-06,1.0000000000000016e-06,time_only,83,12,single-class y,1.0,tb_live,y_success_eventual
0.48484848484848486,0.28478303858093434,0.3839971903910754,0.19602700843069393,g4_plus_g5,23,10,,0.4782608695652174,tb_live,y_validation_new_work_h5
0.49242424242424243,0.283888109329645,0.38292335826326307,0.19546499547138535,ledger_basic,23,10,,0.4782608695652174,tb_live,y_validation_new_work_h5
0.2727272727272727,0.27841048975709015,0.31007044117557647,0.25307938981069417,ledger_dynamics,23,10,,0.4782608695652174,tb_live,y_validation_new_work_h5
0.4318181818181818,0.25383582398789756,0.38743609842574983,0.15433205317100293,time_only,23,10,,0.4782608695652174,tb_live,y_validation_new_work_h5
