mode,bound_constraint,action,mean,p05,p25,median,p75,p95,target_met_rate
timing,HBM,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
timing,HBM,kv_transfer,0.14521428571428566,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.17857142857142858,1.0
timing,HBM,not_moved,0.31907142857142845,0.2857142857142857,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.0
timing,Bandwidth,replay,0.5357857142857142,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
timing,Bandwidth,kv_transfer,0.17849999999999994,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,1.0
timing,Bandwidth,not_moved,0.2857142857142856,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
timing,Prefill,replay,0.5375357142857142,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.865
timing,Prefill,kv_transfer,0.19074999999999998,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.865
timing,Prefill,not_moved,0.2717142857142857,0.25,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.865
timing,HBM + bandwidth,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
timing,HBM + bandwidth,kv_transfer,0.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0
timing,HBM + bandwidth,not_moved,0.32142857142857134,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.0
timing,HBM + prefill,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.001
timing,HBM + prefill,kv_transfer,0.1362142857142857,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.001
timing,HBM + prefill,not_moved,0.32807142857142846,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3571428571428571,0.001
timing,Bandwidth + prefill,replay,0.5388214285714286,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5714285714285714,1.0
timing,Bandwidth + prefill,kv_transfer,0.1765357142857142,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,1.0
timing,Bandwidth + prefill,not_moved,0.28464285714285703,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
timing,All bound,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.038
timing,All bound,kv_transfer,0.12042857142857143,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.038
timing,All bound,not_moved,0.34385714285714275,0.3214285714285714,0.3214285714285714,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.038
timing,None bound,replay,0.5,0.5,0.5,0.5,0.5,0.5,0.999
