mode,bound_constraint,action,mean,p05,p25,median,p75,p95,target_met_rate
timing,None bound,kv_transfer,0.21664285714285716,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.25,0.999
timing,None bound,not_moved,0.28335714285714275,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.999
power,HBM,replay,0.5351428571428571,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
power,HBM,kv_transfer,0.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0
power,HBM,not_moved,0.3219999999999999,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.0
power,Bandwidth,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
power,Bandwidth,kv_transfer,0.17857142857142852,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,1.0
power,Bandwidth,not_moved,0.2857142857142856,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
power,Prefill,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.787
power,Prefill,kv_transfer,0.18278571428571422,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.787
power,Prefill,not_moved,0.2814999999999999,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.787
power,HBM + bandwidth,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
power,HBM + bandwidth,kv_transfer,0.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0
power,HBM + bandwidth,not_moved,0.32142857142857134,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.0
power,HBM + prefill,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.271
power,HBM + prefill,kv_transfer,0.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.271
power,HBM + prefill,not_moved,0.32142857142857134,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.271
power,Bandwidth + prefill,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.967
power,Bandwidth + prefill,kv_transfer,0.1720357142857142,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.967
power,Bandwidth + prefill,not_moved,0.2922499999999999,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3214285714285714,0.967
power,All bound,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.2
power,All bound,kv_transfer,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.2
power,All bound,not_moved,0.35714285714285704,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.2
power,None bound,replay,0.5,0.5,0.5,0.5,0.5,0.5,0.989
power,None bound,kv_transfer,0.21385714285714286,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.989
power,None bound,not_moved,0.28614285714285703,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.989
joint,HBM,replay,0.5352142857142856,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.994
joint,HBM,kv_transfer,0.14521428571428566,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.994
joint,HBM,not_moved,0.31957142857142845,0.2857142857142857,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.994
joint,Bandwidth,replay,0.5357857142857142,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0
joint,Bandwidth,kv_transfer,0.17849999999999994,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,1.0
joint,Bandwidth,not_moved,0.2857142857142856,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0
joint,Prefill,replay,0.5375,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5374999999999983,0.782
joint,Prefill,kv_transfer,0.1884285714285714,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.782
joint,Prefill,not_moved,0.2740714285714286,0.25,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.782
joint,HBM + bandwidth,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.999
joint,HBM + bandwidth,kv_transfer,0.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.999
joint,HBM + bandwidth,not_moved,0.32142857142857134,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.999
joint,HBM + prefill,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.255
joint,HBM + prefill,kv_transfer,0.1362142857142857,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.255
joint,HBM + prefill,not_moved,0.32807142857142846,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3571428571428571,0.255
joint,Bandwidth + prefill,replay,0.5386428571428571,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.982
joint,Bandwidth + prefill,kv_transfer,0.17378571428571424,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.982
joint,Bandwidth + prefill,not_moved,0.2875714285714284,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3214285714285714,0.982
joint,All bound,replay,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.243
joint,All bound,kv_transfer,0.12042857142857143,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.243
joint,All bound,not_moved,0.34385714285714275,0.3214285714285714,0.3214285714285714,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.243
joint,None bound,replay,0.49996428571428575,0.5,0.5,0.5,0.5,0.5,0.979
joint,None bound,kv_transfer,0.21625000000000003,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.25,0.979
joint,None bound,not_moved,0.2837857142857142,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.979
