requested_fraction,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer,not_moved,cases
0.0,0.0,0.0,0.0,0.0,1.0,12
0.03333333333333333,0.002976190476190476,0.0,0.0318756764069264,0.0,0.965148133116883,12
0.06666666666666667,0.002976190476190476,0.0,0.03317775974025974,0.0,0.9638460497835496,12
0.1,0.008928571428571428,0.0,0.058289366883116873,0.0,0.9327820616883118,12
0.13333333333333333,0.008928571428571428,0.0,0.063379329004329,0.0,0.9276920995670995,12
0.16666666666666666,0.008928571428571428,0.0,0.06468141233766232,0.0,0.9263900162337663,12
0.2,0.008928571428571428,0.002976190476190476,0.06895968614718613,0.023809523809523805,0.8953260281385279,12
0.23333333333333334,0.011904761904761904,0.002976190476190476,0.07026176948051947,0.023809523809523805,0.8910477543290042,12
0.26666666666666666,0.016183035714285712,0.002976190476190476,0.06512107683982683,0.026785714285714277,0.8889339826839827,12
0.3,0.02938988095238095,0.002976190476190476,0.08676609848484847,0.026785714285714277,0.8540821158008659,12
0.3333333333333333,0.043898809523809514,0.005952380952380952,0.11733969155844155,0.04464285714285713,0.788166260822511,12
0.36666666666666664,0.0745907738095238,0.002976190476190476,0.09055397727272725,0.06926406926406925,0.7626149891774893,12
0.4,0.08649553571428571,0.008928571428571428,0.08162540584415584,0.08079680735930735,0.7421536796536797,12
0.43333333333333335,0.08947172619047618,0.017857142857142856,0.09650635822510821,0.12420522186147186,0.6719595508658008,12
0.4666666666666667,0.10137648809523808,0.03366815476190476,0.13817302489177488,0.14119994588744586,0.5855823863636364,12
0.5,0.1289738906926407,0.049851190476190466,0.20824878246753245,0.14119994588744586,0.47172619047619047,12
0.5333333333333333,0.15954748376623376,0.06473214285714285,0.2201535443722944,0.15175189393939392,0.4038149350649351,12
0.5666666666666667,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.6,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.6333333333333333,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.6666666666666666,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.7,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.7333333333333333,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.7666666666666666,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.8,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.8333333333333334,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.8666666666666667,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.9,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.9333333333333333,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
0.9666666666666667,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
1.0,0.16414705086580086,0.07609577922077922,0.2201535443722944,0.16068046536796535,0.3789231601731602,12
