case_id,bound_constraint,replicate,mode,power_bootstrap_index,target_w,target_met,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved
constraints/hbm,HBM,0,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,0,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,0,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,0,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,0,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,0,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,0,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,0,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,1,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,1,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,1,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,1,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,1,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/bandwidth-prefill,Bandwidth + prefill,1,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,1,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,1,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,2,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,2,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,2,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,2,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,2,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,2,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,2,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,2,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,3,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,3,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,3,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,3,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,3,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,3,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,3,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,3,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,4,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,4,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,4,timing,-1,30.02225081689722,False,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,4,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
