case_id,bound_constraint,replicate,mode,power_bootstrap_index,target_w,target_met,replay_count,kv_transfer_count,not_moved_count,replay,kv_transfer,not_moved
constraints/hbm-prefill,HBM + prefill,4,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,4,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,4,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,4,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,5,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,5,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,5,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,5,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,5,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,5,timing,-1,30.02225081689722,True,16,4,8,0.5714285714285714,0.14285714285714285,0.2857142857142857
constraints/all,All bound,5,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,5,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,6,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,6,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,6,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,6,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,6,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,6,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,6,timing,-1,30.02225081689722,True,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,6,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,7,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,7,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,7,timing,-1,30.02225081689722,False,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,7,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,7,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,7,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,7,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,7,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,8,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,8,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,8,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,8,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,8,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/bandwidth-prefill,Bandwidth + prefill,8,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,8,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,8,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,9,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,9,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,9,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,9,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,9,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,9,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,9,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,9,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,10,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,10,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,10,timing,-1,30.02225081689722,False,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,10,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,10,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,10,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,10,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,10,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,11,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,11,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,11,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,11,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,11,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,11,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,11,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,11,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,12,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,12,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,12,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,12,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,12,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,12,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,12,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,12,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,13,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,13,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,13,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,13,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,13,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,13,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,13,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,13,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,14,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,14,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,14,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,14,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,14,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/bandwidth-prefill,Bandwidth + prefill,14,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,14,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,14,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,15,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,15,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,15,timing,-1,30.02225081689722,True,16,5,7,0.5714285714285714,0.17857142857142858,0.25
constraints/hbm-bandwidth,HBM + bandwidth,15,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,15,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,15,timing,-1,30.02225081689722,True,16,5,7,0.5714285714285714,0.17857142857142858,0.25
constraints/all,All bound,15,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,15,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,16,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,16,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,16,timing,-1,30.02225081689722,True,16,6,6,0.5714285714285714,0.21428571428571427,0.2142857142857143
constraints/hbm-bandwidth,HBM + bandwidth,16,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,16,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,16,timing,-1,30.02225081689722,True,16,5,7,0.5714285714285714,0.17857142857142858,0.25
constraints/all,All bound,16,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,16,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,17,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,17,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,17,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,17,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,17,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,17,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,17,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,17,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,18,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,18,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,18,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,18,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,18,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,18,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,18,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,18,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,19,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,19,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,19,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,19,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,19,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,19,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,19,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,19,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,20,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,20,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,20,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,20,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,20,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,20,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,20,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,20,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,21,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,21,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,21,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,21,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,21,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/bandwidth-prefill,Bandwidth + prefill,21,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,21,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,21,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,22,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,22,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,22,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,22,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,22,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,22,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,22,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,22,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,23,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,23,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,23,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,23,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,23,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,23,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,23,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,23,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,24,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,24,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,24,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/hbm-bandwidth,HBM + bandwidth,24,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,24,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/bandwidth-prefill,Bandwidth + prefill,24,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,24,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/none,None bound,24,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
constraints/hbm,HBM,25,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth,Bandwidth,25,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/prefill,Prefill,25,timing,-1,30.02225081689722,True,15,6,7,0.5357142857142857,0.21428571428571427,0.25
constraints/hbm-bandwidth,HBM + bandwidth,25,timing,-1,30.02225081689722,True,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/hbm-prefill,HBM + prefill,25,timing,-1,30.02225081689722,False,15,4,9,0.5357142857142857,0.14285714285714285,0.3214285714285714
constraints/bandwidth-prefill,Bandwidth + prefill,25,timing,-1,30.02225081689722,True,15,5,8,0.5357142857142857,0.17857142857142858,0.2857142857142857
constraints/all,All bound,25,timing,-1,30.02225081689722,False,15,3,10,0.5357142857142857,0.10714285714285714,0.3571428571428571
constraints/none,None bound,25,timing,-1,30.02225081689722,True,14,6,8,0.5,0.21428571428571427,0.2857142857142857
