case_id,kv_only_capacity,replay_only_capacity,target_met,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer,not_moved
constraint/quota-30,0.5984419968123483,0.3835492816738234,True,0.25,0.10714285714285714,0.03571428571428571,0.17857142857142858,0.4285714285714286
constraint/window-19,0.6978999097333052,0.6888679321087171,True,0.18181818181818182,0.13636363636363635,0.3181818181818182,0.22727272727272727,0.13636363636363635
constraint/window-30,0.5984419968123483,0.4995284731722896,True,0.17857142857142858,0.10714285714285714,0.25,0.17857142857142858,0.2857142857142857
constraint/window-60,0.3476472438931722,0.44063914262764836,True,0.109375,0.0625,0.109375,0.09375,0.625
separation/east-service-slow-path,0.5231367343354644,0.4254075530189571,False,0.17857142857142858,0.10714285714285714,0.25,0.17857142857142858,0.2857142857142857
separation/germany-service,0.39580687962412164,0.42252721087898537,True,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.3928571428571429
separation/joint-shaped,0.32844002806456235,0.4805168066282182,True,0.17857142857142858,0.03571428571428571,0.25,0.14285714285714285,0.3928571428571429
hardware_gap/all-bind,0.40639588647488617,0.48698716075059867,True,0.10714285714285714,0.03571428571428571,0.25,0.14285714285714285,0.4642857142857143
hardware_gap/all-release,0.5984419968123483,0.4995284731722896,True,0.17857142857142858,0.10714285714285714,0.25,0.17857142857142858,0.2857142857142857
hardware_gap/free-bandwidth,0.5617115042382416,0.48698716075059867,True,0.07142857142857142,0.07142857142857142,0.25,0.17857142857142858,0.4285714285714286
hardware_gap/free-kv,0.40639588647488617,0.47693215842020287,True,0.21428571428571427,0.03571428571428571,0.25,0.14285714285714285,0.3571428571428571
hardware_gap/free-service,0.4254075530189571,0.4995284731722896,True,0.14285714285714285,0.0,0.25,0.14285714285714285,0.4642857142857143
