group,controlled_change,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer,not_moved
Replay intervention,Impose Germany replay quota,2,0,-6,0,4
Resource releases,Release bandwidth,-1,1,0,1,-1
Resource releases,Release East KV capacity,3,0,0,0,-3
Resource releases,Release Germany service,1,-1,0,0,0
Resource releases,Release all constraints,2,2,0,1,-5
