bound_constraint,replay,kv_transfer,not_moved
HBM,0.25,0.2857142857142857,0.4642857142857143
Bandwidth,0.39285714285714285,0.21428571428571427,0.3928571428571429
Prefill,0.4642857142857143,0.25,0.2857142857142857
HBM + bandwidth,0.39285714285714285,0.14285714285714285,0.4642857142857143
HBM + prefill,0.32142857142857145,0.25,0.4285714285714286
Bandwidth + prefill,0.4642857142857143,0.17857142857142858,0.3571428571428571
All bound,0.35714285714285715,0.17857142857142858,0.4642857142857143
None bound,0.42857142857142855,0.2857142857142857,0.2857142857142857
