scenario,policy,p50_resume_s,frac_network,frac_prefill,frac_workspace,frac_kv_memory
tiny_prefill_pressure,oracle,0.0613090867,0.060574,0.789371,0.150055,0.000000
tiny_prefill_pressure,mixed_min_pressure,0.0942653338,0.653584,0.000000,0.346416,0.000000
tiny_prefill_pressure,random_mode,0.123056614,0.079977,0.788851,0.131172,0.000000
tiny_prefill_pressure,strong_reuse,0.139877718,0.809603,0.000000,0.190397,0.000000
medium_multi_resource,oracle,0.7349,0.670977,0.073381,0.255642,0.000000
medium_multi_resource,mixed_min_pressure,1.46893333,0.141139,0.391073,0.467788,0.000000
medium_multi_resource,random_mode,3.73084419,0.958101,0.041899,0.000000,0.000000
medium_multi_resource,strong_reuse,3.79565556,0.746460,0.253540,0.000000,0.000000
monorepo_workspace_pressure,oracle,9.975155,0.003684,0.001180,0.995137,0.000000
monorepo_workspace_pressure,mixed_min_pressure,10.04406,0.000000,0.005163,0.994837,0.000000
monorepo_workspace_pressure,random_mode,15.0344498,0.002211,0.001803,0.995985,0.000000
monorepo_workspace_pressure,strong_reuse,20.0788322,0.000000,0.004785,0.995215,0.000000
slow_link_network_pressure,oracle,0.532553333,0.922667,0.002390,0.074943,0.000000
slow_link_network_pressure,mixed_min_pressure,1.06208,0.000000,0.092168,0.907832,0.000000
slow_link_network_pressure,random_mode,8.13248667,0.987788,0.012212,0.000000,0.000000
slow_link_network_pressure,strong_reuse,16.0525622,0.989955,0.010045,0.000000,0.000000
