dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,6.6376869678497314,6.767512798309326,8.654504776000977,1.8869624137878418,5.0067901611328125e-06
1,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,5.980281114578247,5.980281114578247,6.8412559032440186,0.860931396484375,1.6927719116210938e-05
2,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,1.3661041259765625,1.3661041259765625,2.2568469047546387,0.8906934261322021,1.5974044799804688e-05
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,2.46413516998291,2.46413516998291,2.4641997814178467,2.86102294921875e-05,4.76837158203125e-06
4,codex:41e93e85-eff7-106f-9736-224049baedb2,R,7.290034770965576,7.425939083099365,7.425995826721191,2.193450927734375e-05,4.5299530029296875e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,3.483475923538208,3.7845892906188965,5.897252321243286,2.112630605697632,1.2636184692382812e-05
6,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,1.5956902503967285,1.5956902503967285,1.59574294090271,2.1219253540039062e-05,4.291534423828125e-06
7,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,2.433640480041504,2.674515962600708,2.674565076828003,1.8835067749023438e-05,3.5762786865234375e-06
8,codex:e6744833-786a-9c87-c539-3a40cda50680,R,2.339075803756714,2.339075803756714,3.0593411922454834,0.7202234268188477,1.4781951904296875e-05
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,1.480175495147705,1.480175495147705,1.5662364959716797,0.08601570129394531,1.9073486328125e-05
10,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,4.7113869190216064,4.7113869190216064,4.711596727371216,1.8596649169921875e-05,3.5762786865234375e-06
