phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,296.581375
baseline,1,240,240,1.0,83.08420833333334
drain,0,120,120,1.0,186.3381666666667
drain,1,120,120,1.0,292.4275833333333
post,0,240,240,1.0,197.11145833333333
post,1,240,240,1.0,318.17579166666667
