workload,seed,axis,solver,methods,arrival,service,kv,bandwidth_gbps,migration_s,source_replicas,sink_replicas,sessions,sessions_landed,all_sessions_landed,initial_source_w,source_w_shed,power_shortfall_w,replay_moves,kv_moves,mode,failure,bottleneck,migration_makespan_s,packing_repairs,runtime_s,evidence_status,extrapolation_reasons,in_domain_fraction
coding,0,reference,lp,replay+kv_transfer,1,0,0,10,115,179,179,10000,7747,False,19876.887842638924,7149.6798029281435,377.0508348197436,7739,8,emergency,target_unmet,migration:sink-a100:replay,114.3666783663836,715,6218.687015666626,unsupported_extrapolation,context,0.3345811281786498
coding,0,reference,lp_highs,replay+kv_transfer,1,0,0,10,115,179,179,10000,7746,False,19876.887842638924,7149.6235736750405,377.1070640728467,7738,8,emergency,target_unmet,migration:sink-a100:replay,114.36035559284525,716,6158.386035166681,unsupported_extrapolation,context,0.33462432223082883
