step,complete_weight,active_weight,progress,complete_leaf_count,active_leaf_count
0,0,0,0.0,0,0
1,0,1.0,0.0,0,1
2,0,2.0,0.0,0,2
3,0,3.0,0.0,0,3
4,0,4.0,0.0,0,4
5,0,5.0,0.0,0,5
6,0,6.0,0.0,0,6
7,0,6.4,0.0,0,7
8,0,6.4,0.0,0,7
9,1.0,6.4,0.15625,1,7
10,1.0,6.4,0.15625,1,7
11,2.0,6.4,0.3125,2,7
12,2.0,6.0,0.3333333333333333,2,6
13,2.0,6.0,0.3333333333333333,2,6
14,3.0,6.0,0.5,3,6
15,2.0,6.0,0.3333333333333333,2,6
16,2.0,7.0,0.2857142857142857,2,7
17,3.0,7.0,0.42857142857142855,3,7
18,3.0,7.0,0.42857142857142855,3,7
19,4.0,7.0,0.5714285714285714,4,7
20,4.0,7.0,0.5714285714285714,4,7
21,5.0,7.0,0.7142857142857143,5,7
22,5.0,7.0,0.7142857142857143,5,7
23,6.0,7.0,0.8571428571428571,6,7
24,6.0,7.0,0.8571428571428571,6,7
25,7.0,7.0,1.0,7,7
