phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,302.15983263598326
baseline,1,239,239,1.0,83.01573221757322
drain,0,462,462,1.0,96.52372294372296
drain,1,462,462,1.0,179.1100649350649
post,0,239,239,1.0,87.67046025104602
post,1,239,239,1.0,356.71589958159
