episode,workload,arm,seed,rate,cohort,offered_rps,completed_rps,offered_requests,completed_arrival_cohort_requests,exact_requests,tpot_requests,exact_timing_coverage_of_completed,exact_completed_fraction_of_arrivals,p90_original_arrival_ttft_s,p90_request_mean_tpot_s,known_original_arrival_ttft_over_1s,outstanding_all_prior_arrivals,outstanding_at_migration_plus30,outstanding_at_migration_plus120,switches_at_migration_plus30,switches_at_migration_plus120,destination_dispatch_timing,strict_source_token_stream_pause_overlaps,tail_guarantee
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,resident,0.44166666666666665,0.4375,106,104,104,62,1.0,0.9811320754716981,0.3528435905,0.031081957349999998,2,2,0,0,8,8,,0,False
episodes-coding-0-control-7101,coding,control,7101,0.4426002548363285,incoming,0.3625,0.3625,87,87,87,53,1.0,1.0,0.33931512480000003,0.031312211456593415,1,0,1,1,8,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 87, 'completed_requests': 87, 'exact_completed_requests': 87, 'p90_original_arrival_ttft_s': 0.33931512480000003, 'request_tpot_samples': 53, 'p90_request_mean_tpot_s': 0.031312211456593415}",0,False
episodes-coding-0-control-7102,coding,control,7102,0.4426002548363285,resident,0.43333333333333335,0.44166666666666665,104,104,104,65,1.0,1.0,0.4450633155,0.03287520035862167,4,0,1,2,8,8,,0,False
episodes-coding-0-control-7102,coding,control,7102,0.4426002548363285,incoming,0.3541666666666667,0.3541666666666667,85,85,85,60,1.0,1.0,0.4116315838000001,0.032901315386523126,2,0,0,1,8,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 85, 'completed_requests': 85, 'exact_completed_requests': 85, 'p90_original_arrival_ttft_s': 0.4116315838000001, 'request_tpot_samples': 60, 'p90_request_mean_tpot_s': 0.032901315386523126}",0,False
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0.4426002548363285,resident,0.44166666666666665,0.4375,106,104,104,62,1.0,0.9811320754716981,0.355073489,0.03195292488157894,3,2,0,1,1,8,,0,False
episodes-coding-0-kv_transfer-7101,coding,kv_transfer,7101,0.4426002548363285,incoming,0.3625,0.3625,87,87,87,53,1.0,1.0,18.950548435600005,0.036863693326923075,19,0,2,1,1,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 71, 'completed_requests': 71, 'exact_completed_requests': 71, 'p90_original_arrival_ttft_s': 19.752908549, 'request_tpot_samples': 39, 'p90_request_mean_tpot_s': 0.03139223717777778}",0,False
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0.4426002548363285,resident,0.43333333333333335,0.44166666666666665,104,104,104,65,1.0,1.0,0.4902900092,0.034625449462298855,2,0,1,4,1,8,,1,False
episodes-coding-0-kv_transfer-7102,coding,kv_transfer,7102,0.4426002548363285,incoming,0.3541666666666667,0.3541666666666667,85,85,85,60,1.0,1.0,15.611822756000006,0.03880610625564516,20,0,1,1,1,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 70, 'completed_requests': 70, 'exact_completed_requests': 70, 'p90_original_arrival_ttft_s': 19.850020197100005, 'request_tpot_samples': 51, 'p90_request_mean_tpot_s': 0.03873945958333333}",1,False
episodes-coding-0-replay-7101,coding,replay,7101,0.4426002548363285,resident,0.44166666666666665,0.4375,106,104,104,62,1.0,0.9811320754716981,0.6894371699999999,0.03181094753174603,9,2,0,0,0,8,,1,False
episodes-coding-0-replay-7101,coding,replay,7101,0.4426002548363285,incoming,0.3625,0.3625,87,87,87,53,1.0,1.0,0.43123790080000046,0.03416048644142858,5,0,1,1,0,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 75, 'completed_requests': 75, 'exact_completed_requests': 75, 'p90_original_arrival_ttft_s': 0.5050105330000004, 'request_tpot_samples': 42, 'p90_request_mean_tpot_s': 0.03234231542631579}",1,False
episodes-coding-0-replay-7102,coding,replay,7102,0.4426002548363285,resident,0.43333333333333335,0.44166666666666665,104,104,104,65,1.0,1.0,0.6065441057000001,0.0374423178,5,0,1,2,1,8,,0,False
episodes-coding-0-replay-7102,coding,replay,7102,0.4426002548363285,incoming,0.3541666666666667,0.3541666666666667,85,85,85,60,1.0,1.0,0.5008537732000006,0.03608223868748115,5,0,2,1,1,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 76, 'completed_requests': 76, 'exact_completed_requests': 76, 'p90_original_arrival_ttft_s': 0.547535447, 'request_tpot_samples': 53, 'p90_request_mean_tpot_s': 0.034470195106842114}",0,False
episodes-coding_long-0-control-7101,coding_long,control,7101,0.1881783279213518,resident,0.19583333333333333,0.19583333333333333,47,47,47,34,1.0,1.0,0.33537591219999996,0.03174425494686804,1,0,0,0,8,8,,3,False
episodes-coding_long-0-control-7101,coding_long,control,7101,0.1881783279213518,incoming,0.3,0.3125,72,72,72,50,1.0,1.0,0.48995372509999996,0.029719891677087176,3,0,1,0,8,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 72, 'completed_requests': 72, 'exact_completed_requests': 72, 'p90_original_arrival_ttft_s': 0.48995372509999996, 'request_tpot_samples': 50, 'p90_request_mean_tpot_s': 0.029719891677087176}",3,False
episodes-coding_long-0-control-7102,coding_long,control,7102,0.1881783279213518,resident,0.1875,0.1875,45,45,45,26,1.0,1.0,0.31350122280000003,0.030467115395004622,1,0,0,0,8,8,,0,False
episodes-coding_long-0-control-7102,coding_long,control,7102,0.1881783279213518,incoming,0.3125,0.30833333333333335,75,74,74,43,1.0,0.9866666666666667,0.4654938491000002,0.028843641081250003,1,1,1,0,8,8,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 75, 'completed_requests': 74, 'exact_completed_requests': 74, 'p90_original_arrival_ttft_s': 0.4654938491000002, 'request_tpot_samples': 43, 'p90_request_mean_tpot_s': 0.028843641081250003}",0,False
episodes-coding_long-0-kv_transfer-7101,coding_long,kv_transfer,7101,0.1881783279213518,resident,0.19583333333333333,0.19583333333333333,47,47,47,34,1.0,1.0,0.32211163859999997,0.03199033176305221,2,0,0,0,0,3,,0,False
episodes-coding_long-0-kv_transfer-7101,coding_long,kv_transfer,7101,0.1881783279213518,incoming,0.3,0.3125,72,72,72,50,1.0,1.0,21.97335735669999,0.03647779244269653,19,0,2,6,0,3,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 52, 'completed_requests': 52, 'exact_completed_requests': 52, 'p90_original_arrival_ttft_s': 23.818641563099998, 'request_tpot_samples': 36, 'p90_request_mean_tpot_s': 0.03263711863392857}",0,False
episodes-coding_long-0-kv_transfer-7102,coding_long,kv_transfer,7102,0.1881783279213518,resident,0.1875,0.1875,45,45,45,26,1.0,1.0,0.31798616460000007,0.03221407403973013,1,0,0,0,0,7,,0,False
episodes-coding_long-0-kv_transfer-7102,coding_long,kv_transfer,7102,0.1881783279213518,incoming,0.3125,0.30833333333333335,75,74,74,43,1.0,0.9866666666666667,29.01033440800002,0.037203864909518214,18,1,3,2,0,7,"{'scope': 'Service requests scheduled after migration start and dispatched on this GPU; undispatched arrivals remain in whole incoming population.', 'requests': 55, 'completed_requests': 54, 'exact_completed_requests': 54, 'p90_original_arrival_ttft_s': 36.49637094420001, 'request_tpot_samples': 26, 'p90_request_mean_tpot_s': 0.030084373675}",0,False
episodes-coding_long-0-replay-7101,coding_long,replay,7101,0.1881783279213518,resident,0.19583333333333333,0.19583333333333333,47,47,47,34,1.0,1.0,14.070017672399995,0.029574443502826855,8,0,2,0,0,8,,1,False
