Welcome to Microsoft Azure Linux 3.0 (x86_64)
timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 04:05:46.438, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 0 MiB
2026/09/10 04:05:47.440, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 0 MiB
2026/09/10 04:05:48.441, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 0 MiB
2026/09/10 04:05:49.441, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 0 MiB
2026/09/10 04:05:50.441, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 0 MiB
2026/09/10 04:05:51.441, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:05:52.441, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:05:53.442, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.66 W, 0 %, 6 MiB
2026/09/10 04:05:54.442, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.67 W, 0 %, 6 MiB
2026/09/10 04:05:55.443, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:05:56.443, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:05:57.443, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:05:58.443, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:05:59.444, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:06:00.444, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:06:01.444, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:06:02.444, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:03.444, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:04.445, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:05.445, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:06:06.445, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.47 W, 0 %, 6 MiB
2026/09/10 04:06:07.445, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.47 W, 0 %, 6 MiB
2026/09/10 04:06:08.446, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.47 W, 0 %, 6 MiB
2026/09/10 04:06:09.446, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:10.446, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.47 W, 0 %, 6 MiB
2026/09/10 04:06:11.447, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.47 W, 0 %, 6 MiB
2026/09/10 04:06:12.447, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:13.447, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:06:14.447, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.54 W, 0 %, 6 MiB
2026/09/10 04:06:15.448, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:16.448, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:17.448, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:06:18.450, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:19.450, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:20.451, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.46 W, 0 %, 6 MiB
2026/09/10 04:06:21.451, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.56 W, 0 %, 6 MiB
2026/09/10 04:06:22.451, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 48.57 W, 0 %, 6 MiB
2026/09/10 04:06:23.451, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 83.62 W, 0 %, 23 MiB
2026/09/10 04:06:24.454, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 102.86 W, 1 %, 1832 MiB
2026/09/10 04:06:25.454, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 108.08 W, 39 %, 15166 MiB
2026/09/10 04:06:26.455, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 112.98 W, 39 %, 15166 MiB
2026/09/10 04:06:27.455, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.26 W, 16 %, 14786 MiB
2026/09/10 04:06:28.458, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 297.97 W, 30 %, 15650 MiB
2026/09/10 04:06:29.459, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 99.51 W, 0 %, 16436 MiB
2026/09/10 04:06:30.459, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 98.78 W, 0 %, 60690 MiB
2026/09/10 04:06:31.459, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.04 W, 0 %, 60690 MiB
2026/09/10 04:06:32.459, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.14 W, 0 %, 60690 MiB
2026/09/10 04:06:33.460, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.04 W, 0 %, 60690 MiB
2026/09/10 04:06:34.460, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.14 W, 0 %, 60690 MiB
2026/09/10 04:06:35.460, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.24 W, 0 %, 60690 MiB
2026/09/10 04:06:36.460, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.24 W, 0 %, 60690 MiB
2026/09/10 04:06:37.461, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.24 W, 0 %, 60690 MiB
2026/09/10 04:06:38.461, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.33 W, 0 %, 60690 MiB
2026/09/10 04:06:39.461, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.43 W, 0 %, 60690 MiB
2026/09/10 04:06:40.461, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.46 W, 0 %, 60698 MiB
2026/09/10 04:06:41.461, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.14 W, 0 %, 61438 MiB
2026/09/10 04:06:42.462, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.26 W, 0 %, 61438 MiB
2026/09/10 04:06:43.462, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.26 W, 0 %, 61438 MiB
2026/09/10 04:06:44.462, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.24 W, 0 %, 61438 MiB
2026/09/10 04:06:45.462, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.24 W, 0 %, 61438 MiB
2026/09/10 04:06:46.463, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.33 W, 0 %, 61438 MiB
2026/09/10 04:06:47.463, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.33 W, 0 %, 61438 MiB
2026/09/10 04:06:48.463, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.36 W, 0 %, 61438 MiB
2026/09/10 04:06:49.463, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.53 W, 0 %, 61438 MiB
2026/09/10 04:06:50.463, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.53 W, 0 %, 61438 MiB
2026/09/10 04:06:51.464, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.56 W, 0 %, 61438 MiB
2026/09/10 04:06:52.464, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.53 W, 0 %, 61438 MiB
2026/09/10 04:06:53.464, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.63 W, 0 %, 61438 MiB
2026/09/10 04:06:54.464, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.75 W, 0 %, 61438 MiB
2026/09/10 04:06:55.465, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.75 W, 0 %, 61438 MiB
2026/09/10 04:06:56.465, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.82 W, 0 %, 61438 MiB
2026/09/10 04:06:57.465, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.72 W, 0 %, 61438 MiB
2026/09/10 04:06:58.465, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.82 W, 0 %, 61438 MiB
2026/09/10 04:06:59.465, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.82 W, 0 %, 61438 MiB
2026/09/10 04:07:00.466, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.82 W, 0 %, 61438 MiB
2026/09/10 04:07:01.466, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 100.92 W, 0 %, 61438 MiB
2026/09/10 04:07:02.466, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.11 W, 0 %, 61438 MiB
2026/09/10 04:07:03.466, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.02 W, 0 %, 61438 MiB
2026/09/10 04:07:04.466, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.01 W, 0 %, 61438 MiB
2026/09/10 04:07:05.467, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.11 W, 0 %, 61438 MiB
2026/09/10 04:07:06.467, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.11 W, 0 %, 61438 MiB
2026/09/10 04:07:07.467, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.22 W, 0 %, 61438 MiB
2026/09/10 04:07:08.467, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.09 W, 0 %, 61438 MiB
2026/09/10 04:07:09.467, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.32 W, 0 %, 61438 MiB
2026/09/10 04:07:10.468, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.32 W, 0 %, 61438 MiB
2026/09/10 04:07:11.468, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.42 W, 0 %, 61438 MiB
2026/09/10 04:07:12.468, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.38 W, 0 %, 61438 MiB
2026/09/10 04:07:13.468, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.42 W, 0 %, 61438 MiB
2026/09/10 04:07:14.468, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.51 W, 0 %, 61438 MiB
2026/09/10 04:07:15.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.53 W, 0 %, 61438 MiB
2026/09/10 04:07:16.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.62 W, 0 %, 61438 MiB
2026/09/10 04:07:17.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.62 W, 0 %, 61438 MiB
2026/09/10 04:07:18.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.62 W, 0 %, 61438 MiB
2026/09/10 04:07:19.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.62 W, 0 %, 61438 MiB
2026/09/10 04:07:20.469, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.72 W, 0 %, 61438 MiB
2026/09/10 04:07:21.470, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.62 W, 0 %, 61438 MiB
2026/09/10 04:07:22.470, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.72 W, 0 %, 61438 MiB
2026/09/10 04:07:23.470, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.82 W, 0 %, 61438 MiB
2026/09/10 04:07:24.470, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.82 W, 0 %, 61438 MiB
2026/09/10 04:07:25.471, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.82 W, 0 %, 61438 MiB
2026/09/10 04:07:26.471, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.82 W, 0 %, 61438 MiB
2026/09/10 04:07:27.471, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 101.92 W, 0 %, 61438 MiB
