timestamp,query.start,query.end,index,uuid,power.draw [W],clocks.sm [MHz],clocks.mem [MHz],utilization.gpu [%],utilization.memory [%],memory.used [MiB],temperature.gpu,pstate,power.limit [W],clocks_event_reasons.sw_power_cap,clocks_event_reasons.hw_slowdown,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown
2026/08/03 11:44:36.996,2026/08/03 11:44:36.975,2026/08/03 11:44:37.016,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:36.996,2026/08/03 11:44:36.975,2026/08/03 11:44:37.016,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,86.40,1410,1593,37,4,61341,39,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.091,2026/08/03 11:44:37.075,2026/08/03 11:44:37.107,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.091,2026/08/03 11:44:37.075,2026/08/03 11:44:37.107,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.80,1410,1593,37,4,61341,39,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.190,2026/08/03 11:44:37.175,2026/08/03 11:44:37.204,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.190,2026/08/03 11:44:37.175,2026/08/03 11:44:37.204,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.56,1410,1593,0,0,61341,39,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.291,2026/08/03 11:44:37.275,2026/08/03 11:44:37.307,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.291,2026/08/03 11:44:37.275,2026/08/03 11:44:37.307,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.29,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.388,2026/08/03 11:44:37.375,2026/08/03 11:44:37.401,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.388,2026/08/03 11:44:37.375,2026/08/03 11:44:37.401,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.96,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.487,2026/08/03 11:44:37.475,2026/08/03 11:44:37.500,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.487,2026/08/03 11:44:37.475,2026/08/03 11:44:37.500,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.29,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.587,2026/08/03 11:44:37.575,2026/08/03 11:44:37.600,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.587,2026/08/03 11:44:37.575,2026/08/03 11:44:37.600,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.20,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.690,2026/08/03 11:44:37.675,2026/08/03 11:44:37.704,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.690,2026/08/03 11:44:37.675,2026/08/03 11:44:37.704,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.20,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.792,2026/08/03 11:44:37.775,2026/08/03 11:44:37.809,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.792,2026/08/03 11:44:37.775,2026/08/03 11:44:37.809,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.96,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.890,2026/08/03 11:44:37.875,2026/08/03 11:44:37.905,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.890,2026/08/03 11:44:37.875,2026/08/03 11:44:37.905,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.64,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.989,2026/08/03 11:44:37.975,2026/08/03 11:44:38.002,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:37.989,2026/08/03 11:44:37.975,2026/08/03 11:44:38.002,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.96,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:38.088,2026/08/03 11:44:38.075,2026/08/03 11:44:38.101,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:38.088,2026/08/03 11:44:38.075,2026/08/03 11:44:38.101,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,83.96,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:38.187,2026/08/03 11:44:38.175,2026/08/03 11:44:38.199,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.67,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:38.187,2026/08/03 11:44:38.175,2026/08/03 11:44:38.199,1,GPU-03a84180-d660-dbdc-17f4-0e0655717066,84.56,1410,1593,0,0,61341,37,P0,500.00,Not Active,Not Active,Not Active,Not Active
2026/08/03 11:44:38.289,2026/08/03 11:44:38.275,2026/08/03 11:44:38.304,0,GPU-e2681f6e-8d94-2d66-484f-43ea602335f9,86.35,1410,1593,0,0,61341,38,P0,500.00,Not Active,Not Active,Not Active,Not Active
