workload,input_sessions,median_served_T,policy,seed,deadline_s,deadline_scale,reference_deadline_s,target_frac,target_w,full_source_drop_w,planned_source_drop_w,planned_shortfall_w,planned_hit,selected_node_expected_w,egress_realized_node_expected_w,rebuild_realized_node_expected_w,acceptance_ok,deadline_hit,measured_source_drop_w,measured_sink_rise_w,total_first_token_s,total_completion_s,completion_to_reference,max_completion_s,sessions,run_root
small,16,5918.5,greedy,0,120.0,1.0,120.0,0.25,80.71989510204462,322.87958040817847,85.24601435954366,0.0,True,85.24601435954366,85.24601435954366,85.24601435954366,False,True,42.64259867503483,175.87315219665274,3.89127516746521,8.296051502227783,0.06913376251856486,8.296051502227783,6,queue-haul/outputs/stage1c_power_warmup_v1/greedy_D120_T0p25
small,16,5918.5,greedy,0,120.0,1.0,120.0,0.65,209.87172726531603,322.87958040817847,229.37538994476702,0.0,True,229.37538994476702,229.37538994476702,229.37538994476702,True,True,221.17546059972102,236.26860006973496,5.6637701988220215,6.497796297073364,0.05414830247561137,6.497796297073364,9,queue-haul/outputs/stage1c_power_warmup_v1/greedy_D120_T0p65
