phase,gpu,samples,power_mean_w
baseline,0,480,353.1975
baseline,1,480,83.83633333333333
drain,0,186,341.5059139784947
drain,1,186,176.6174193548387
post,0,480,217.3339583333333
post,1,480,189.70227083333333
