turn,n,mean_fraction_complete,stdev,lower_1sd,upper_1sd,min,max
1,40,0.0,0.0,0.0,0.0,0.0,0.0
2,40,0.0055000000000000005,0.016725728683677728,0.0,0.02222572868367773,0.0,0.07
3,40,0.08149999999999999,0.0176847391838274,0.06381526081617259,0.09918473918382739,0.05,0.1
4,40,0.16250000000000003,0.047103609203541924,0.11539639079645811,0.20960360920354196,0.1,0.2
5,40,0.17925000000000008,0.035241133636703566,0.14400886636329652,0.21449113363670363,0.07,0.2
6,40,0.12375000000000005,0.04181432170919434,0.08193567829080572,0.16556432170919438,0.05,0.2
7,40,0.20500000000000013,0.033166247903554,0.17183375209644614,0.23816624790355412,0.15,0.3
8,40,0.20500000000000007,0.021794494717703367,0.1832055052822967,0.22679449471770344,0.2,0.3
9,40,0.18875000000000008,0.0362068708949006,0.15254312910509948,0.22495687089490068,0.1,0.3
10,40,0.1962500000000001,0.054068821884705416,0.14218117811529468,0.2503188218847055,0.1,0.35
11,40,0.17600000000000007,0.05932115979985556,0.11667884020014452,0.23532115979985563,0.0,0.3
12,40,0.21225000000000005,0.05345500444298926,0.1587949955570108,0.2657050044429893,0.12,0.35
13,40,0.23500000000000001,0.06819090848492927,0.16680909151507073,0.3031909084849293,0.15,0.4
14,40,0.51425,0.17783261090137548,0.3364173890986245,0.6920826109013755,0.3,0.9
15,40,0.6824999999999999,0.05448623679425844,0.6280137632057414,0.7369862367942583,0.55,0.9
16,40,0.65075,0.07798677772545806,0.572763222274542,0.7287367777254581,0.5,0.85
17,40,0.8994999999999997,0.15111171364258957,0.7483882863574102,1.0,0.0,1.0
18,40,0.8749999999999998,0.04472135954999581,0.830278640450004,0.9197213595499956,0.7,0.95
19,40,0.938,0.0446206230346462,0.8933793769653537,0.9826206230346461,0.85,1.0
