phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,239,239,1.0,269.4687447698745
baseline,1,239,239,1.0,83.15326359832635
drain,0,123,123,1.0,210.94552845528457
drain,1,123,123,1.0,289.9012195121951
post,0,240,240,1.0,195.39958333333334
post,1,240,240,1.0,316.7820833333334
